ID_Pregunta,Área_Evaluada,Competencia,Componente,Proceso_Cognitivo,Tipo_Conocimiento,Nivel_Dificultad,Afirmación,Evidencia,Pregunta,Respuesta_Correcta,Nivel_Desempeño_Esperado,Tiempo_Estimado,Tema_Específico,Grado_Escolar,Periodo_Aplicación,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Requiere_Imagen,Imagen_Pregunta_URL,Imagen_Opcion_A_URL,Imagen_Opcion_B_URL,Imagen_Opcion_C_URL,Imagen_Opcion_D_URL,Area_Tematica,Puntos_XP,Pista_1,Pista_2,Pista_3,Explicación_Respuesta,Error_Común
11,Matemáticas,Formulación y ejecución,Conocimientos genéricos,Proposición,Genérico,3,Aplica procedimientos con residuos y porcentajes,Calcula bonificaciones usando algoritmos específicos,"Para diciembre, el comerciante decidió que por cada 5 toneladas del producto transportado en camión y vendido en alguna de las ciudades, cada uno de los dos empleados necesarios por camión recibirá un bono de 0,3 % del dinero recibido en la venta de esas 5 toneladas. En ese mes, dos empleados transportaron y vendieron 47 toneladas de mango a la ciudad W. Para hallar el bono recibido por cada uno de ellos, se ejecutó el siguiente procedimiento: Paso 1. Se dividió el número de toneladas vendidas entre 5 y se halló su residuo. Paso 2. Se restó del número de toneladas vendidas, el valor obtenido en el paso 1. Paso 3. Se multiplicó el valor obtenido en el paso 2 por el valor de venta de la tonelada del producto. Paso 4. Al valor obtenido en el paso 3, se le sacó el 0,3 %. El bono recibido por cada empleado fue, aproximadamente, de",B,Avanzado,180,Cálculo de bonificaciones con residuos,11,2024-02-01,$126.000,$135.000,$141.000,$150.000,0,,,,,,Aritmética y Operaciones Básicas,40,47÷5 = 9 con residuo 2,Solo se bonifican 45 toneladas (9×5),0.3% de (45×$700,000),Respuesta B. 45 ton×$700
12,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,2,Interpreta información en gráficos de barras,Relaciona datos numéricos con representaciones gráficas,"Si se transportan 7 toneladas de fruta a la ciudad W y 10 toneladas de fruta a la ciudad Z, la gráfica que muestra la relación de costos por ciudad es",B,Satisfactorio,75,Interpretación de gráficos,10,2024-02-01,,,,,0,,/mathimg/Math_12_R_A_Doc1.png,/mathimg/Math_12_R_B_Doc1.png,/mathimg/Math_12_R_C_Doc1.png,/mathimg/Math_12_R_D_Doc1.png,Problemas Aplicados y Análisis,35,Ciudad W: costo fijo $300,0,Ciudad Z: costo fijo $600,0,El costo fijo aparece aunque transporten 0 ton
13,Matemáticas,Argumentación,Conocimientos genéricos,Argumentación,Genérico,2,Determina qué información se puede inferir de datos dados,Identifica conclusiones válidas a partir de información limitada,"Durante enero, el comerciante vendió 100 toneladas de mango y 50 de banano, y contrató 10 trabajadores. Con esta información es posible conocer",D,Satisfactorio,60,Análisis de información disponible,11,2024-02-01,el número total de viajes realizados,las ganancias totales del mes,el destino de las ventas,el número de toneladas vendidas de fruta,0,,,,,,Problemas Aplicados y Análisis,30,Conoces cantidades pero no destinos,Sin destinos no hay costos de transporte,Solo puedes afirmar el total vendido,Respuesta D. Solo se puede conocer el número total de toneladas vendidas (150). Sin destinos no se calculan costos ni ganancias,Asumir que todo se vendió a la ciudad más rentable
14,Matemáticas,Interpretación y representación,Conocimientos no genéricos,Interpretación,No genérico,2,Comprende relaciones entre dimensiones y áreas en geometría,Calcula cambios porcentuales en áreas de figuras geométricas,"Si en un rectángulo se aumenta la longitud de uno de sus lados en 100 %, su área",B,Satisfactorio,45,Geometría y porcentajes,10,2024-02-01,aumenta en 100%,aumenta en 100%,aumenta en 200%,se cuadruplica,0,,,,,,Geometría y Trigonometría,25,Si un lado se duplica (100% aumento),Área original: L × A,Área nueva: 2L × A = 2(L × A),Respuesta B. Si un lado aumenta 100%, se duplica. Área nueva = 2L×A = 2(LA). El área aumenta 100%
15,Matemáticas,Formulación y ejecución,Conocimientos genéricos,Proposición,Genérico,3,Aplica razonamiento proporcional a situaciones nuevas,Extrapola patrones a partir de gráficos,"Un estudio de mercadeo identifica el número de unidades vendidas de un producto de una marca específica, de acuerdo con la cantidad de marcas que compiten contra ella en una tienda y el número de unidades vendidas sin competencia. La gráfica muestra los resultados del estudio para ese producto en un mes. Suponiendo un comportamiento análogo para una tienda que vende 1.250 unidades del producto cuando este no tiene competencia en un principio, ¿cuántas unidades se venderán aproximadamente de este producto en un mes, si compite contra 3 marcas de las que aparecen en la gráfica?",A,Satisfactorio,90,Proporcionalidad y extrapolación,11,2024-02-01,500,625,750,875,1,/mathimg/Math_15_1_Doc1.png,,,,,Geometría y Trigonometría,35,Con 0 competidores: 100% de ventas,Con 3 competidores: aproximadamente 40%,1,250 × 0.40 = ?,Respuesta A. Del gráfico
16,Matemáticas,Argumentación,Conocimientos genéricos,Argumentación,Genérico,3,Evalúa razonamientos basados en promedios,Identifica falacias en argumentos estadísticos,"Una escuela de natación cuenta con un total de 16 estudiantes. Para las clases se usan 2 piscinas con distinta profundidad. Por seguridad, las personas con una estatura inferior a 1,80 m se envían a la piscina menos profunda, y las demás, a la más profunda. Un día, el director de la escuela escucha que el promedio de estatura de las 16 personas es 1,70 m e insiste en aumentar la cantidad de alumnos para que el promedio sea 1,80 m, afirmando que de esta manera se logrará igualar la cantidad de personas en las dos piscinas. Esta afirmación es errónea, porque",D,Avanzado,120,Falacias estadísticas,11,2024-02-01,el promedio no puede cambiar agregando personas,se necesitaría agregar demasiadas personas,no se conoce la distribución actual de estudiantes,el promedio no determina la distribución individual,0,,,,,,Estadística y Probabilidad,50,El promedio puede esconder distribuciones extremas,Ejemplo: 8 de 1.60m + 8 de 1.80m = promedio 1.70m,Todos irían a la misma piscina según su estatura,Respuesta D. El promedio no determina la distribución individual. Pueden tener cualquier distribución con ese promedio,Creer que el promedio determina la distribución
17,Matemáticas,Argumentación,Conocimientos no genéricos,Argumentación,No genérico,3,Evalúa procedimientos geométricos para calcular áreas,Verifica la validez de cálculos en figuras compuestas,Observa la figura. Para calcular el área de la figura se empleó el siguiente procedimiento: Ac = k · k = k² As = k π / 2 / 4 / 2 = k² π / 8 Af = Ac + As Af = k² + k² π / 8 = k² (1 + π / 8) El anterior procedimiento es,B,Avanzado,90,Áreas de figuras compuestas,11,2024-02-01,"incorrecto, porque el área del semicírculo está mal calculada","correcto, la figura tiene área k²(1 + π/8)","incorrecto, porque no se sumaron correctamente las áreas","correcto, pero se puede simplificar más",1,/mathimg/Math_17_1_Doc1.png,,,,,Geometría y Trigonometría,35,Área cuadrado = k²,Radio del semicírculo = k/2,Área semicírculo = π(k/2)²/2,Respuesta B. El procedimiento es correcto. Área total = k² + πk²/8 = k²(1+π/8),Usar diámetro en lugar de radio en la fórmula
18,Matemáticas,Formulación y ejecución,Conocimientos no genéricos,Proposición,No genérico,3,Resuelve sistemas de ecuaciones con múltiples variables,Encuentra valores usando relaciones algebraicas,"En un juego, el animador elige tres números positivos, X, Z y W, y una vez elegidos debe proveerles a los participantes información que permita hallar los números, declarando ganador al jugador que primero los encuentre. En una ocasión, el animador les suministró como pistas a los participantes los valores R = XZ, S = XW y T = ZW, información suficiente para hallar los valores de X, Z y W. Una de las jugadoras quiere hallar X primero; la forma de hallarlo es resolviendo",D,Avanzado,120,Sistemas de ecuaciones,11,2024-02-01,X = R/Z,X = S/W,X = (R+S)/T,X = √(RS/T),0,,,,,,Álgebra y Funciones,50,Tienes R=XZ, S=XW, T=ZW,Despeja Z de la tercera: Z=T/W,Sustituye en las primeras ecuaciones
19,Matemáticas,Interpretación y representación,Conocimientos no genéricos,Interpretación,No genérico,2,Modela situaciones mediante funciones lineales,Encuentra funciones que representan relaciones entre variables,"La tabla presenta la información sobre el gasto en publicidad y las ganancias de una empresa durante los años 2000 a 2002. La función que representa la ganancia obtenida G, en millones de pesos, en función del gasto en publicidad p, es",D,Satisfactorio,90,Modelación lineal,11,2024-02-01,G = 2p + 20,G = 3p + 10,G = 4p,G = 2.5p + 15,0,,,,,,Álgebra y Funciones,35,Prueba cada opción con los tres puntos,La función debe dar G=190,230,250,Verifica con p=8000
20,Matemáticas,Interpretación y representación,Conocimientos no genéricos,Interpretación,No genérico,3,Generaliza patrones numéricos mediante expresiones algebraicas,Encuentra fórmulas para secuencias numéricas,"Los organizadores de un campeonato internacional de patinaje entregan la medallería solo a los países que hayan ocupado los tres primeros puestos. La tabla muestra el número de formas posibles en que se pueden ocupar los tres primeros puestos que se premiarán, según el número de países participantes. Una forma de generalizar la relación entre los datos anteriores es",C,Avanzado,120,Permutaciones y generalizaciones,11,2024-02-01,n!,n³,n(n-1)(n-2),n(n-1)(n-2)/6,1,/mathimg/Math_20_1_Doc1.png,,,,,Álgebra y Funciones,45,Es una permutación P(n,3),Primer lugar: n opciones, segundo: n-1, tercero: n-2
21,Matemáticas,Formulación y ejecución,Conocimientos no genéricos,Proposición,No genérico,2,Plantea ecuaciones para resolver problemas,Modela situaciones de cambio mediante ecuaciones,"En una feria robótica, el robot P y el robot Q disputan un juego de tenis de mesa. En el momento en que el marcador se encuentra 7 a 2 a favor del robot P, estos se reprograman de tal forma que por cada 2 puntos que anota el robot P, el robot Q anota 3. ¿Cuál de las siguientes ecuaciones permite determinar cuándo igualará en puntos el robot Q al robot P?",A,Satisfactorio,75,Ecuaciones lineales,10,2024-02-01,7 + 2x = 2 + 3x,7 + 3x = 2 + 2x,2(7 + x) = 3(2 + x),7x + 2 = 2x + 3,0,/mathimg/Math_21_1_Doc1.png,,,,,Álgebra y Funciones,30,P actual: 7 puntos, Q actual: 2 puntos,Por cada intercambio: P suma 2, Q suma 3,¿Cuándo 7+2x = 2+3x?
22,Matemáticas,Formulación y ejecución,Conocimientos no genéricos,Proposición,No genérico,3,Aplica el teorema de Pitágoras en contextos prácticos,Calcula medidas en triángulos rectángulos,"Un cartabón es una plantilla que se utiliza en dibujo técnico y que tiene forma de triángulo rectángulo escaleno, de modo que su hipotenusa mide el doble del cateto de menor longitud. Si el cateto más largo de un cartabón mide 32 centímetros, como muestra la figura, ¿cuál de las siguientes medidas corresponde a su cateto menor?",C,Avanzado,120,Teorema de Pitágoras,11,2024-02-01,16 cm,16√2 cm,(32√3)/3 cm,32/√3 cm,1,/mathimg/Math_22_1_Doc1.png,,,,,Geometría y Trigonometría,45,Cateto menor: x, Cateto mayor: 32, Hipotenusa: 2x,Pitágoras: (2x)² = x² + 32²,3x² = 1024
23,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,3,Comprende propiedades de medidas estadísticas,Analiza cambios en promedio y desviación estándar,"A partir de un conjunto de números S, cuyo promedio es 9 y desviación estándar 3, se construye un nuevo conjunto de números T, tomando cada elemento de S y sumándole 4 unidades. Si, por ejemplo, 8 es un elemento de S, entonces el número 8 + 4 = 12 es un elemento de T. Es correcto afirmar, entonces, que para los elementos del conjunto T su promedio y su desviación estándar son, respectivamente,",C,Avanzado,90,Estadística descriptiva,11,2024-02-01,9 y 7,13 y 7,13 y 3,9 y 3,0,/mathimg/Math_23_1_Doc1.png,,,,,Álgebra y Funciones,40,Al sumar constante k a cada dato,La media aumenta en k,La desviación no cambia (mide dispersión),Respuesta C. Nueva media = 9+4 = 13. La desviación estándar permanece en 3 (no cambia con traslaciones),Pensar que la desviación también aumenta en 4
24,Matemáticas,Formulación y ejecución,Conocimientos no genéricos,Proposición,No genérico,2,Aplica razones trigonométricas para calcular distancias,Usa funciones trigonométricas en problemas prácticos,"La línea punteada en la figura muestra un corte realizado a un triángulo. El corte es paralelo a la base y corta por la mitad a la altura que es perpendicular a la base. Para realizar el corte, se determinó la altura del triángulo usando la fórmula sen(45°) = h / 120; luego se dividió h entre dos. Realizando este procedimiento, y teniendo en cuenta que sen(45°) = √2 / 2 ≈ 0,71, la distancia a la que se cortó la altura del triángulo fue, aproximadamente,",C,Satisfactorio,90,Trigonometría aplicada,11,2024-02-01,30,"35,5","42,6",60,0,,,,,,Geometría y Trigonometría,35,sen(45°) = h/120, entonces h = 120×sen(45°),sen(45°) = √2/2 ≈ 0.71,La mitad de h = h/2,Respuesta C. h = 120×0.71 = 85.2. Corte a la mitad: 85.2/2 = 42.6
25,Matemáticas,Argumentación,Conocimientos genéricos,Argumentación,Genérico,2,Comprende la densidad de los números reales,Analiza la existencia de valores entre números decimales,"Una prueba atlética tiene un récord mundial de 10,49 segundos y un récord olímpico de 10,50 segundos. ¿Es posible que un atleta registre un tiempo, en el mismo tipo de prueba, que rompa el récord olímpico pero no el mundial?",A,Satisfactorio,45,Números reales,10,2024-02-01,"Sí, cualquier tiempo entre 10,49 y 10,50 segundos","No, porque los récords son indivisibles","Sí, pero solo si es exactamente 10,495 segundos","No, porque el récord mundial es menor",0,,,,,,Aritmética y Operaciones Básicas,20,10.49 < ? < 10.50,Cualquier decimal entre estos valores funciona,Ejemplo: 10.495 segundos,Respuesta A. Sí, cualquier tiempo entre 10.49 y 10.50 segundos rompe el récord olímpico pero no el mundial
26,Matemáticas,Identificar y entender contenidos locales,Textos discontinuos,Interpretación,Genérico,2,Interpreta información en gráficos circulares,Lee correctamente datos de diagramas estadísticos,"A continuación se muestran los resultados de una encuesta que indagó sobre el parque automotor del transporte intermunicipal en Colombia. Según la información anterior, es correcto afirmar que",C,Satisfactorio,60,Interpretación de gráficos,11,2024-02-01,la mayoría de vehículos son buses,hay más taxis que camionetas,los buses representan el mayor porcentaje,los microbuses son el tipo menos común,1,/mathimg/Math_26_1_Doc1.png,,,,,Estadística y Probabilidad,30,Analiza el gráfico circular cuidadosamente,Identifica qué afirmación contradice los datos,Los porcentajes deben sumar 100%,Respuesta C. Los buses representan el mayor porcentaje según el gráfico circular mostrado,Malinterpretar los porcentajes del gráfico
27,Matemáticas,Formulación y ejecución,Conocimientos genéricos,Proposición,Genérico,2,Aplica principios de conteo y permutaciones,Calcula el número de arreglos posibles,"El sistema de comunicaciones de un hotel utiliza los dígitos 2, 3, 4 y 5 para asignar un número de extensión telefónica de 4 dígitos diferentes a cada habitación. ¿Cuántas habitaciones del hotel pueden tener extensión telefónica?",A,Mínimo,60,Principio de conteo,10,2024-02-01,24,120,256,625,0,,,,,,Álgebra y Funciones,25,4 dígitos diferentes disponibles: 2,3,4,5,Primera posición: 4 opciones
28,Matemáticas,Formulación y ejecución,Conocimientos no genéricos,Proposición,No genérico,2,Aplica razones trigonométricas básicas,Calcula funciones trigonométricas en triángulos rectángulos,"Para fijar un aviso publicitario se ubica sobre un muro una escalera a 12 metros del suelo (ver figura 1). Las figuras, además, muestran la situación y algunas de las medidas involucradas. ¿Cuál es el coseno del ángulo que forman el suelo y la escalera?",A,Satisfactorio,75,Trigonometría básica,11,2024-02-01,4/5,3/5,5/4,5/3,1,/mathimg/Math_28_1_Doc1.png,,,,,Geometría y Trigonometría,30,Identifica el triángulo rectángulo,Cateto vertical = 12m, hipotenusa = 15m,cos θ = cateto adyacente/hipotenusa,Respuesta A. Cateto horizontal = 9m (por Pitágoras). cos θ = 9/15 = 3/5
29,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,2,Comprende el concepto de probabilidad como razón,Interpreta probabilidades en contextos escolares,"En una institución educativa hay dos cursos en grado undécimo. El número de hombres y mujeres de cada curso se relaciona en la tabla: La probabilidad de escoger un estudiante de grado undécimo, de esta institución, que sea mujer es de 3/5. Este valor corresponde a la razón entre el número total de mujeres y",C,Satisfactorio,60,Probabilidad básica,11,2024-02-01,el número de hombres,el número de estudiantes del curso A,el número total de estudiantes,el número de mujeres del curso B,1,/mathimg/Math_29_1_Doc1.png,,,,,Estadística y Probabilidad,30,Probabilidad = casos favorables/casos totales,3/5 significa 3 de cada 5,El denominador es el total de estudiantes,Respuesta C. La probabilidad 3/5 = mujeres/total de estudiantes de grado undécimo,Pensar que el denominador es solo las mujeres
30,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,2,Identifica eventos imposibles en probabilidad,Reconoce características mutuamente excluyentes,"En la tabla se muestran las cartas que conforman una baraja de póquer. Si la probabilidad de escoger una de ellas que cumpla dos características determinadas es cero, estas características podrían ser",B,Satisfactorio,75,Eventos imposibles,10,2024-02-01,ser roja y ser de tréboles,ser rey y ser as,ser de corazones y ser negra,ser número par y ser figura,1,/mathimg/Math_30_1_Doc1.png,,,,,Estadística y Probabilidad,35,Probabilidad 0 = evento imposible,Busca características mutuamente excluyentes,Una carta no puede tener dos palos a la vez,Respuesta B. Imposible que una carta sea rey Y as simultáneamente,Buscar eventos improbables en vez de imposibles
31,Matemáticas,Formulación y ejecución,Conocimientos no genéricos,Proposición,No genérico,3,Aplica la ley de senos en polígonos regulares,Calcula medidas en figuras inscritas en circunferencias,"Un octágono regular es un polígono de ocho lados y ocho ángulos internos congruentes. La figura muestra un octágono regular inscrito en una circunferencia de radio 2. Con la expresión x = 2sen45° / sen67,5° se puede calcular en el octágono de la figura, la medida del",B,Avanzado,120,Ley de senos,11,2024-02-01,radio,lado,diagonal mayor,apotema,1,/mathimg/Math_31_1_Doc1.png,,,,,Geometría y Trigonometría,50,Ángulo central de cada sección: 360°/8 = 45°,Ángulos del triángulo formado por el lado,Aplica ley de senos: lado/sen(ángulo opuesto),Respuesta B. La expresión calcula el lado del octágono usando la ley de senos,No identificar qué ángulos intervienen en la ley de senos
