ID_Pregunta,Área_Evaluada,Competencia,Componente,Proceso_Cognitivo,Tipo_Conocimiento,Nivel_Dificultad,Afirmación,Evidencia,Pregunta,Respuesta_Correcta,Nivel_Desempeño_Esperado,Tiempo_Estimado,Tema_Específico,Grado_Escolar,Periodo_Aplicación,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Requiere_Imagen,Imagen_Pregunta_URL,Imagen_Opcion_A_URL,Imagen_Opcion_B_URL,Imagen_Opcion_C_URL,Imagen_Opcion_D_URL,Puntos_XP,Pista_1,Pista_2,Pista_3,Explicación_Respuesta,Error_Común,Pregunta_con_contexto,Pregunta_Libro,Orden_En_Contexto,Contexto_Requerido,Imagen_Contexto_Comp,Texto_Contexto_Completo,ID_Contexto_Compartido,Ruta_absoluta_Archivo,Nombre_del_Archivo,Índice_Discriminación,Parámetro_IRT_A,Parámetro_IRT_B,Parámetro_IRT_C,Subtema,Estrategia_Discursiva,Tipo_Razonamiento,Complejidad_Cognitiva,Contexto_Aplicación,Tipo_Texto,Género_Textual,Función_Comunicativa,Pensamiento_Matemático,Disciplina_Predominante,Concepto_Científico,Proceso_Científico,Nivel_Representación,Periodo_Histórico,Ámbito_Análisis,Escala_Espacial,Tipo_Fuente,Nivel_MCER,Parte_Prueba,Competencia_Comunicativa,Habilidad_Específica,Distractor_A_Concepto,Distractor_B_Concepto,Distractor_C_Concepto,Frecuencia_Error_A,Frecuencia_Error_B,Frecuencia_Error_C,Concepto_Refuerzo_1,Concepto_Refuerzo_2,Recurso_Sugerido,Tiempo_Estudio_Estimado,Fecha_Creación,Fecha_Actualización,Versión_Item,Banco_Origen,Fecha_Calibración
34,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_vivo,Recordar,Conceptual,Avanzado,Los alelos se distribuyen independientemente según Mendel,Comprende la segunda ley de Mendel,"En el esquema se observa el cruce entre dos tipos de semillas (razas puras), una raza de semillas rojas y redondas (VVRR) y la otra de semillas verdes y moteadas (vvrr). El híbrido obtenido en la F1 (VvRr) origina 4 tipos de gametos, que al unirse originan 16 posibles combinaciones. Por tanto, se obtienen 4 tipos de semillas en la F2 en una proporción 9:3:3:1. ¿A qué se debe?",A,Avanzado,14,Leyes de Mendel,11°,2024-2,"Cada par de alelos que controla un carácter se transmite independientemente de cualquier otro par de alelos que controle otro carácter, porque los dos alelos que controlan cada carácter se separan durante la formación de gametos.","Al cruzar dos variedades puras (Homocigóticas) para un carácter, todos los descendientes de la primera generación son heterocigóticos e idénticos entre sí, pues manifiestan el carácter dominante.","El gen que regula la altura del tallo presenta dos alelos, uno que determina la semilla roja y otro que determina la semilla moteada.","El gen es la unidad hereditaria que controla cada carácter, por ejemplo, el color de la semilla.",TRUE,\database\seed_dataciencias naturales\imagenes\Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf\014_Bancopreguntas_CuaCieNatExa_Pregunta_14_Cientifica_Pag13.png,No Aplica,No Aplica,No Aplica,No Aplica,14,Comprende distribución independiente,Identifica segregación alélica,Analiza proporciones mendelianas,La segunda ley de Mendel explica la distribución independiente,Confundir leyes de Mendel,Sí,Sí,1,No,No Aplica,,No Aplica,\database\seed_dataciencias naturales\imagenes\Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.77,-0.045,-2.393,0.193,Leyes_Mendel,Inductiva,Lógico_deductivo,Recordar,Científico,No Aplica,Explicar,No Aplica,No Aplica,Biología,Herencia_reproducción,Observación,Simbólico,Contemporáneo,Científico,Local,Primaria_documento,No Aplica,No Aplica,No Aplica,No Aplica,Primera ley de Mendel (dominancia),Confusión entre características y genes,Definición básica de gen,19,34,31,Genética mendeliana,Herencia de caracteres,Simulador de cruces genéticos,25,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
35,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_vivo,Evaluar,Conceptual,Satisfactorio,La digestión requiere enzimas para transformar alimentos,Comprende el proceso digestivo completo,La digestión es el proceso de transformación y absorción de los alimentos que son ingeridos por vía bucal. ¿Cómo se realiza tal proceso?,B,Satisfactorio,15,Proceso digestivo,11°,2024-2,"La reacción química que se da en este proceso es la hidrólisis, y para ello se necesita de los jugos digestivos que contienen las enzimas responsables de estas transformaciones.","Tiene lugar en el tubo digestivo y consiste en la masticación de los alimentos que se fragmentan y se mezclan con la saliva para formar el bolo alimenticio y los transforman en elementos asimilables: hidratos de glucosa; grasas, glicerina, y aminoácidos.","Cuando el alimento entra en el órgano, las paredes se expanden y la cavidad aumenta sin que se produzcan cambios en la presión Intra gástrica.","La porción cardiaca del estómago almacena la comida ingerida. Las ondas de contracción del músculo circular que van precedidas por ondas de relajación (Peristaltismo) se inician cerca de la zona central del cuerpo del estómago, se propagan hacia abajo y finalizan justo antes de alcanzar el conducto pilórico.",FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,15,Comprende transformación química,Identifica papel de enzimas,Analiza procesos digestivos,"La digestión implica masticación, mezcla y transformación química",Confundir procesos mecánicos con químicos,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.78,-1.829,-2.495,-2.357,Proceso_digestivo,Deductiva,Lógico_deductivo,Evaluar,Científico,No Aplica,Explicar,No Aplica,No Aplica,Biología,Estructura_función_biológica,Experimentación,Microscópico,Contemporáneo,Científico,Local,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Solo proceso químico sin mecánico,Descripción de cambios físicos gástricos,Descripción específica del peristaltismo,25,28,27,Sistema digestivo,Enzimas digestivas,Atlas interactivo del sistema digestivo,22,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
36,Ciencias Naturales,Explicación de fenómenos,Entorno_vivo,Crear,Conceptual,Satisfactorio,La ingeniería genética es más efectiva que pesticidas,Evalúa métodos de control de plagas en cultivos,"El arroz es un alimento cuyo consumo está muy extendido; constituye la base de la dieta de casi la mitad de los habitantes del mundo. Su producción enfrenta varios inconvenientes como las enfermedades graves propias del grano provocadas por hongos; las plagas: insectos, microorganismos, roedores, aves que ocasionan una pérdida entre el 40 y 50% de la producción. ¿Para combatir estos problemas lo más efectivo es?",D,Satisfactorio,16,Control de plagas,11°,2024-2,"Aplicación de fungicidas, sustancias tóxicas que se emplean para impedir el crecimiento o para matar los hongos perjudiciales para las plantas, los animales o el hombre. La mayoría de los fungicidas de uso agrícola se fumigan o espolvorean sobre las semillas, hojas o frutas para impedir la propagación de la roya, el tizón, los mohos, o el mildiu.","Aplicación de herbicidas de amplio espectro, como el glifosato, que controlan casi todas las formas de vegetación. Algunos esterilizan el suelo, eliminan toda la vegetación y retrasan la invasión de nuevas malas hierbas.","Creación de virus artificiales que tengan como objetivo exclusivo ciertas larvas o plagas de insectos que al ser fumigados sobre los cultivos. Los virus, que son inofensivos para otras especies, se autodestruyen cuando su trabajo tóxico ha terminado.",Aplicación de la ingeniería genética aumentando la resistencia de los cultivos a enfermedades.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,16,Evalúa métodos control plagas,Comprende ingeniería genética,Analiza soluciones biotecnológicas,La ingeniería genética ofrece soluciones más efectivas y sostenibles,Preferir métodos químicos sobre biotecnológicos,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.69,1.335,1.206,-0.316,Control_plagas,Comparativa,Espacial,Crear,Comunitario,No Aplica,Persuadir,No Aplica,No Aplica,Biología,Evolución_diversidad,Comunicación_resultados,Simbólico,Contemporáneo,Científico,Local,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Control químico específico para hongos,Control químico general no específico,Biocontrol con agentes infecciosos,19,31,33,Biotecnología agrícola,Resistencia genética,Casos de estudio en mejoramiento genético,14,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
37,Ciencias Naturales,Explicación de fenómenos,Entorno_vivo,Recordar,Conceptual,Avanzado,La intervención humana puede alterar equilibrios naturales,Comprende impactos de la intervención humana en ecosistemas,"Al parecer, hay relaciones dañinas, ¿Qué pasaría si la intervención humana modifica estas relaciones como evitar la competencia y la depredación?",D,Avanzado,17,Equilibrio ecosistémico,11°,2024-2,Mejoraría las cosechas con el control de parásitos y depredadores.,"Mejoraría sus tasas de población y de crecimiento, así como la disponibilidad de recursos alimenticios.",Se desarrollaría a ritmo más acelerado la técnica y la ciencia en todos sus campos.,"Lograría desequilibrios en los ecosistemas, modificando la herencia, provocando mutaciones y modificando u obstruyendo la evolución de las especies.",TRUE,\database\seed_dataciencias naturales\imagenes\Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf\017_Bancopreguntas_CuaCieNatExa_Pregunta_17_General_Pag11.jpeg,No Aplica,No Aplica,No Aplica,No Aplica,17,Comprende equilibrio ecológico,Analiza intervención humana,Evalúa consecuencias ambientales,La intervención excesiva causa desequilibrios y afecta la evolución,Subestimar impactos de intervención humana,Sí,Sí,1,No,No Aplica,,No Aplica,\database\seed_dataciencias naturales\imagenes\Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.38,-1.315,-2.563,0.196,Equilibrio_ecosistémico,Deductiva,Analógico,Recordar,Científico,No Aplica,Informar,No Aplica,No Aplica,Biología,Ecología_ecosistemas,Experimentación,Microscópico,Contemporáneo,Científico,Local,Primaria_documento,No Aplica,No Aplica,No Aplica,No Aplica,Beneficios agrícolas a corto plazo,Beneficios poblacionales simples,Avance tecnológico descontextualizado,13,18,22,Ecología de poblaciones,Impacto ambiental,Simulador de dinámicas poblacionales,22,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
38,Ciencias Naturales,Explicación de fenómenos,Entorno_vivo,Evaluar,Conceptual,Avanzado,Las mutaciones químicas alteran la expresión génica,Evalúa efectos de mutaciones en la pigmentación,"Un grupo de aves de color marrón que se origina desde el pigmento 1; por medio de reacciones de varias enzimas, se va transformando en otros pigmentos hasta lograr el marrón. Las enzimas son proteínas distintas por lo que cada una es codificada desde el gen A. Al presentarse mutaciones en algunos de los genes, se han encontrado aves de color amarillo, rojas, anaranjado y marrón. Esto se debe a:",A,Avanzado,18,Mutaciones génicas,11°,2024-2,"Una mutación inducida que como consecuencia de la exposición a mutágenos biológicos como los agentes alquilantes (la Nitrosoguanidina), reacciona directamente con el ADN originando cambios químicos en una u otra base y produciendo también apareamientos diferentes.","Una proteína defectuosa (que produce una mutación por cambio de sentido, pues origina la sustitución de un aminoácido por otro).","Una proteína incompleta (que produce una mutación sin sentido, porque la mutación ha originado un codón de fin antes de tiempo).","Una mutación por translocación, que afectan a muchos pares de bases: grandes fragmentos de ADN se ""cortan"" e integran en nuevas localizaciones, incluso a veces en diferentes cromosomas.",TRUE,\database\seed_dataciencias naturales\imagenes\Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf\018_Bancopreguntas_CuaCieNatExa_Pregunta_18_Cientifica_Pag12.jpeg,No Aplica,No Aplica,No Aplica,No Aplica,18,Comprende tipos de mutaciones,Analiza efectos en pigmentación,Evalúa cambios moleculares,Las mutaciones inducidas alteran la secuencia de ADN,Confundir tipos de mutaciones,Sí,Sí,1,No,No Aplica,,No Aplica,\database\seed_dataciencias naturales\imagenes\Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.26,-2.854,1.931,-1.545,Mutaciones_génicas,Comparativa,Lógico_deductivo,Evaluar,Familiar,No Aplica,Describir,No Aplica,No Aplica,Biología,Herencia_reproducción,Observación,Macroscópico,Contemporáneo,Científico,Local,Primaria_documento,No Aplica,No Aplica,No Aplica,No Aplica,Mutación puntual con cambio funcional,Mutación nonsense con proteína truncada,Mutación cromosómica estructural,25,27,35,Genética molecular,Tipos de mutaciones,Simulador de mutaciones en ADN,26,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
39,Ciencias Naturales,Explicación de fenómenos,Entorno_vivo,Analizar,Conceptual,Avanzado,La selección natural favorece caracteres ventajosos,Analiza efectos de la selección natural en poblaciones,"De acuerdo con la gráfica de predación del grupo de aves, Los depredadores cazan más fácilmente las de un color que otras. ¿Las de qué color tienen mayor probabilidad de supervivencia?",A,Avanzado,19,Selección natural,11°,2024-2,"Las de color naranja y amarillo, ya que la selección natural actúa para incrementar la frecuencia de las mutaciones ventajosas (Su color diferente al marrón), que es como se produce el cambio evolutivo. Esos organismos con mutaciones ventajosas tienen más posibilidades de sobrevivir, reproducirse y transmitir las mutaciones a su descendencia.",Las de color amarillo porque la depredación aumenta cuanto mayor es el número de las presas y como consecuencia aumentará la población de depredadores.,"Las de color marrón y rojo porque cada depredador va desarrollando hábitos y técnicas de caza que le hacen más eficaces sus capturas y las presas asimismo para evitarlas, Los depredadores desempeñaban el papel de agentes de la selección natural, al eliminar aquellas aves más parecidas a las de su dieta.","Las de color rojo, porque la selección natural actúa sobre los genes a través de los fenotipos: los genes se perpetúan en la medida en que dan lugar a fenotipos que presentan ventajas selectivas sobre otros fenotipos competidores.",TRUE,\database\seed_dataciencias naturales\imagenes\Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf\019_Bancopreguntas_CuaCieNatExa_Pregunta_19_Cientifica_Pag13.png,No Aplica,No Aplica,No Aplica,No Aplica,19,Comprende selección natural,Analiza ventajas adaptativas,Evalúa supervivencia diferencial,Los colores menos predados tienen ventaja selectiva,Confundir presión selectiva con supervivencia,Sí,Sí,1,No,No Aplica,,No Aplica,\database\seed_dataciencias naturales\imagenes\Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.61,0.873,1.237,-1.385,Selección_natural,Analítica,Analógico,Analizar,Familiar,No Aplica,Informar,No Aplica,No Aplica,Biología,Evolución_diversidad,Experimentación,Simbólico,Contemporáneo,Científico,Local,Primaria_documento,No Aplica,No Aplica,No Aplica,No Aplica,Relación depredador-presa simple,Enfoque en colores más cazados,Selección por fenotipo específico,13,21,34,Evolución,Presión selectiva,Simulador de selección natural,27,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
40,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_vivo,Comprender,Conceptual,Satisfactorio,El sistema digestivo completo tiene entrada y salida distintas,Comprende tipos de sistemas digestivos,El organismo que se observa en la imagen presenta sistema digestivo:,D,Satisfactorio,20,Sistemas digestivos,11°,2024-2,completo porque el alimento entra por la boca y se expulsa por el ano.,"Incompleta, porque el alimento entra por la boca y se expulsa por el ano.","completo, porque el alimento entra y sale por el mismo orificio.","completo, porque el alimento entra por la boca, pasa por varios órganos y luego es expulsado por el ano.",TRUE,\database\seed_dataciencias naturales\imagenes\Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf\020_Bancopreguntas_CuaCieNatExa_Pregunta_20_General_Pag14.jpeg,No Aplica,No Aplica,No Aplica,No Aplica,20,Distingue sistemas digestivos,Identifica características anatómicas,Comprende organización corporal,Sistema completo: boca separada del ano con órganos intermedios,Confundir sistema completo con incompleto,Sí,Sí,1,No,No Aplica,,No Aplica,\database\seed_dataciencias naturales\imagenes\Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.46,-1.937,-2.512,-0.736,Sistemas_digestivos,Sintética,Abstracto,Comprender,Comunitario,No Aplica,Narrar,No Aplica,No Aplica,Biología,Estructura_función_biológica,Observación,Simbólico,Contemporáneo,Científico,Local,Primaria_documento,No Aplica,No Aplica,No Aplica,No Aplica,Definición incompleta de sistema completo,Error conceptual de incompleto,Sistema incompleto con un solo orificio,14,22,24,Anatomía comparada,Evolución de sistemas digestivos,Atlas de anatomía animal comparada,17,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
41,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_vivo,Crear,Conceptual,Satisfactorio,El hígado produce bilis para digerir grasas,Comprende función de glándulas digestivas,En el sistema digestivo humano existen unas glándulas llamadas anexas que ayudan al proceso de la digestión a través de las diferentes sustancias que producen. Con lo anterior se puede identificar que si una persona presenta problemas para estimular las grasas posiblemente tiene problemas de:,B,Satisfactorio,21,Glándulas digestivas,11°,2024-2,Páncreas.,Hígado.,Parótida.,Intestinos.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,21,Identifica función hepática,Comprende digestión de lípidos,Relaciona órgano con función,El hígado produce bilis necesaria para emulsificar grasas,Confundir funciones de glándulas digestivas,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.27,2.643,-2.491,-2.88,Glándulas_digestivas,Analítica,Abstracto,Crear,Académico,No Aplica,Narrar,No Aplica,No Aplica,Biología,Estructura_función_biológica,Análisis_datos,Macroscópico,Contemporáneo,Científico,Local,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Órgano productor de enzimas pancreáticas,Glándula salival no relacionada,Órgano de absorción no productor,24,23,11,Fisiología digestiva,Función de la bilis,Laboratorio virtual de digestión,22,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
42,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_vivo,Comprender,Conceptual,Satisfactorio,El intestino delgado es el sitio principal de absorción,Comprende sitios de absorción en la digestión,"La nutrición en el hombre es el proceso en el cual los organismos aprovechan los nutrientes de los alimentos a través de los procesos de ingestión, digestión y absorción. En la absorción la parte del sistema digestivo involucrado es el:",A,Satisfactorio,22,Absorción digestiva,11°,2024-2,Intestino delgado.,Intestino grueso.,Páncreas.,Estómago.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,22,Identifica sitio de absorción,Comprende anatomía digestiva,Relaciona estructura con función,El intestino delgado tiene vellosidades para maximizar absorción,Confundir absorción con digestión,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.5,2.724,2.92,-1.068,Absorción_digestiva,Inductiva,Lógico_deductivo,Comprender,Laboral,No Aplica,Persuadir,No Aplica,No Aplica,Biología,Estructura_función_biológica,Experimentación,Simbólico,Contemporáneo,Científico,Local,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Órgano de absorción de agua principalmente,Órgano productor de enzimas,Órgano de digestión ácida,29,21,7,Fisiología intestinal,Vellosidades intestinales,Microscopía virtual del intestino delgado,28,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
43,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_vivo,Crear,Conceptual,Satisfactorio,El floema transporta nutrientes orgánicos en plantas,Comprende sistemas de transporte vegetal,"La circulación en los diferentes organismos tiene como función llevar los nutrientes hasta las células. En las plantas, la estructura que realiza esta función es (son):",D,Satisfactorio,23,Transporte en plantas,11°,2024-2,Las hojas.,Las estomas.,La xilema.,El floema.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,23,Identifica sistema vascular vegetal,Distingue xilema de floema,Comprende transporte de nutrientes,El floema transporta azúcares y nutrientes orgánicos,Confundir xilema con floema,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.22,2.489,-0.754,-1.731,Transporte_plantas,Deductiva,Analógico,Crear,Académico,No Aplica,Persuadir,No Aplica,No Aplica,Biología,Estructura_función_biológica,Análisis_datos,Microscópico,Contemporáneo,Científico,Local,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Órganos fotosintéticos no transportadores,Estructuras de intercambio gaseoso,Sistema de transporte de agua,25,18,22,Anatomía vegetal,Tejidos conductores,Microscopía de tejidos vegetales,12,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
44,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_vivo,Comprender,Conceptual,Satisfactorio,Las hojas son el principal órgano fotosintético,Comprende estructuras especializadas en fotosíntesis,Las plantas aprovechan la luz solar para producir su alimento y utilizar su energía en las funciones vitales. Esta energía la obtienen a través del proceso de la respiración. En la imagen se podría identificar como estructura importante en el proceso de la fotosíntesis a:,B,Satisfactorio,24,Estructuras fotosintéticas,11°,2024-2,Los tallos.,Las hojas.,La raíz.,Las flores.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,24,Identifica órganos fotosintéticos,Relaciona estructura con función,Comprende captación lumínica,Las hojas contienen clorofila para captar luz solar,Confundir órganos vegetales y sus funciones,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.75,-0.779,-0.776,-1.035,Estructuras_fotosintéticas,Comparativa,Analógico,Comprender,Científico,No Aplica,Persuadir,No Aplica,No Aplica,Biología,Energía_conservación,Análisis_datos,Microscópico,Contemporáneo,Científico,Local,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Órganos de soporte con fotosíntesis limitada,Órganos de absorción subterráneos,Órganos reproductivos especializados,30,13,31,Fotosíntesis,Cloroplastos,Laboratorio virtual de fotosíntesis,17,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
45,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_vivo,Crear,Conceptual,Satisfactorio,El páncreas produce insulina para regular glucosa,Comprende regulación hormonal del metabolismo,Las hormonas coordinan respuestas lentas y duraderas frente a un estímulo determinado. En el caso de la diabetes juvenil el adolescente debe inyectarse insulina porque:,C,Satisfactorio,25,Regulación hormonal,11°,2024-2,"El hígado no emulsiona las grasas, por tanto, aumenta el nivel de azúcar.",El páncreas produce insulina en exceso.,El páncreas no produce suficiente insulina.,El hígado emulsiona las grasas evitando la acumulación de azúcar.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,25,Comprende diabetes tipo 1,Identifica deficiencia hormonal,Relaciona insulina con glucosa,En diabetes juvenil el páncreas no produce insulina suficiente,Confundir tipos de diabetes,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.36,-2.907,1.877,-2.281,Regulación_hormonal,Comparativa,Analógico,Crear,Laboral,No Aplica,Narrar,No Aplica,No Aplica,Biología,Homeostasis,Formulación_hipótesis,Microscópico,Contemporáneo,Científico,Local,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Confusión entre función hepática y pancreática,Sobreproducción hormonal incorrecta,Función hepática no relacionada con glucosa,13,12,14,Sistema endocrino,Diabetes mellitus,Simulador de regulación glucémica,11,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
46,Ciencias Naturales,Uso comprensivo del conocimiento científico,Entorno_vivo,Comprender,Conceptual,Satisfactorio,La homeostasis mantiene estabilidad interna,Comprende desequilibrios homeostáticos,"La homeostasis establece las condiciones necesarias para que la célula pueda vivir, esto es posible gracias a elementos reguladores que van compensando las variaciones externas que se producen. Ello ocurre por el funcionamiento de todos los órganos, en una integración dependiente de los sistemas nervioso y endocrino. Diferentes situaciones pueden originar o provocar un desequilibrio del medio interno y comprometer el funcionamiento del organismo; una situación sería:",C,Satisfactorio,26,Homeostasis,11°,2024-2,Ataque de risa.,Saltar o correr.,Presión arterial alta.,Bañarse en la lluvia.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,26,Identifica desequilibrios homeostáticos,Comprende regulación interna,Evalúa factores patológicos,La hipertensión compromete el equilibrio cardiovascular,Confundir actividades normales con patológicas,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.6,2.57,2.683,2.343,Homeostasis,Deductiva,Espacial,Comprender,Comunitario,No Aplica,Informar,No Aplica,No Aplica,Biología,Homeostasis,Observación,Microscópico,Contemporáneo,Científico,Local,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Respuesta emocional normal,Actividad física normal,Exposición ambiental normal,7,6,11,Fisiología humana,Regulación interna,Simulador de sistemas de regulación,17,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
47,Ciencias Naturales,Explicación de fenómenos,Entorno_vivo,Comprender,Conceptual,Satisfactorio,Las adaptaciones responden a presiones ambientales,Comprende adaptaciones evolutivas alimentarias,"En los animales, las adaptaciones de diversas partes de la boca, a los alimentos que ingiere, figuran entre las más sorprendentes que pueden citarse. Por ejemplo, las partes bucales como la espiritrompa de algunos insectos están adaptadas para aspirar el néctar de ciertos tipos de flores; mientras en otro, la adaptación es para chupar sangre por picadura o para masticar vegetales. También, se encuentran que los picos de varias clases de aves y los dientes de algunos mamíferos pueden adquirir gran adaptación para tipos peculiares de alimento porque:",A,Satisfactorio,27,Adaptaciones evolutivas,11°,2024-2,Los organismos realizan modificaciones de acuerdo con las necesidades del medio.,Algunos animales logran prestar atención a las exigencias de un espacio específico.,Las aves son las que menos se adaptan a los diferentes medios por su fisiología.,Los mamíferos son los únicos organismos con diversas adaptaciones para sobrevivir.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,27,Comprende adaptaciones alimentarias,Relaciona forma con función,Analiza evolución morfológica,Las adaptaciones responden a presiones selectivas del ambiente,Confundir adaptación con intención consciente,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo_Ciencias Naturales_ Examen Diagnostico con respuestas.pdf,0.39,-0.431,2.916,0.562,Adaptaciones_evolutivas,Deductiva,Abstracto,Comprender,Comunitario,No Aplica,Informar,No Aplica,No Aplica,Biología,Evolución_diversidad,Comunicación_resultados,Macroscópico,Contemporáneo,Científico,Local,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Adaptación consciente e intencional,Generalización incorrecta sobre aves,Exclusividad errónea de mamíferos,35,17,21,Morfología funcional,Coevolución,Galería de adaptaciones alimentarias,22,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
