codigo_tema,area_evaluada,tema_principal,canal_sugerido,youtube_url,youtube_video_id,titulo_video,descripcion,duracion_segundos,fecha_publicacion,idioma,tiene_subtitulos,view_count,like_count,nivel_dificultad,proceso_cognitivo,calidad_pedagogica,orden_sugerido,prerequisitos_video,fecha_verificacion,estado_disponibilidad,efectividad_historica,tiempo_promedio_visto,tags_pedagogicos
CN031,Ciencias Naturales,Caída libre,@educatina,https://www.youtube.com/watch?v=x_q7H2vBhGI,x_q7H2vBhGI,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN032,Ciencias Naturales,Tiro parabólico,@educatina,https://www.youtube.com/watch?v=H3DsqhfPTZg,H3DsqhfPTZg,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN033,Ciencias Naturales,Movimiento circular uniforme,@educatina,https://www.youtube.com/watch?v=JFaA4F0PZdU,JFaA4F0PZdU,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN034,Ciencias Naturales,Leyes de Newton,@educatina,https://www.youtube.com/watch?v=0CveK8UqPqY,0CveK8UqPqY,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN035,Ciencias Naturales,Fuerzas - Diagrama de cuerpo libre,@educatina,https://www.youtube.com/watch?v=VjLVJlvZkKo,VjLVJlvZkKo,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN036,Ciencias Naturales,Trabajo y energía,@educatina,https://www.youtube.com/watch?v=vPgGOFw_RLQ,vPgGOFw_RLQ,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN037,Ciencias Naturales,Potencia mecánica,@educatina,https://www.youtube.com/watch?v=v4eAX8_T3sQ,v4eAX8_T3sQ,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN038,Ciencias Naturales,Conservación de la energía,@educatina,https://www.youtube.com/watch?v=0TmYgGGZrpo,0TmYgGGZrpo,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN039,Ciencias Naturales,Cantidad de movimiento,@educatina,https://www.youtube.com/watch?v=9bYy4Ty5Xxs,9bYy4Ty5Xxs,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN040,Ciencias Naturales,Choques y colisiones,@educatina,https://www.youtube.com/watch?v=DzJNBdxUAsc,DzJNBdxUAsc,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN041,Ciencias Naturales,Movimiento armónico simple,@educatina,https://www.youtube.com/watch?v=cNH0C1vV6tQ,cNH0C1vV6tQ,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN042,Ciencias Naturales,Ondas mecánicas,@educatina,https://www.youtube.com/watch?v=KJJqzx3CTRU,KJJqzx3CTRU,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN043,Ciencias Naturales,Sonido - Propiedades,@educatina,https://www.youtube.com/watch?v=qJy1nCaukss,qJy1nCaukss,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN044,Ciencias Naturales,Óptica - Reflexión y refracción,@educatina,https://www.youtube.com/watch?v=4Pya0yFreME,4Pya0yFreME,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN045,Ciencias Naturales,Espejos y lentes,@educatina,https://www.youtube.com/watch?v=NhJ1grlmZeg,NhJ1grlmZeg,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN046,Ciencias Naturales,Termodinámica - Calor y temperatura,@educatina,https://www.youtube.com/watch?v=jdgvr7MuOaU,jdgvr7MuOaU,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN047,Ciencias Naturales,Leyes de la termodinámica,@educatina,https://www.youtube.com/watch?v=9qCGuewaw50,9qCGuewaw50,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN048,Ciencias Naturales,Electrostática,@educatina,https://www.youtube.com/watch?v=sD_DNHQ1K5Y,sD_DNHQ1K5Y,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN049,Ciencias Naturales,Circuitos eléctricos,@educatina,https://www.youtube.com/watch?v=w5s9XQfEzWE,w5s9XQfEzWE,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN050,Ciencias Naturales,Magnetismo,@educatina,https://www.youtube.com/watch?v=CRttXkqrKU4,CRttXkqrKU4,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN051,Ciencias Naturales,Electromagnetismo,@educatina,https://www.youtube.com/watch?v=3IlWrXSr-qI,3IlWrXSr-qI,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN052,Ciencias Naturales,Fluidos - Hidrostática,@educatina,https://www.youtube.com/watch?v=M6_nJg9zkNQ,M6_nJg9zkNQ,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN053,Ciencias Naturales,Principio de Pascal,@educatina,https://www.youtube.com/watch?v=tVP9JW4uABs,tVP9JW4uABs,,,,,es,,,,,,,,,2025-08-17,activo,,,
CN054,Ciencias Naturales,Principio de Arquímedes,@educatina,https://www.youtube.com/watch?v=2y7G_WxqusI,2y7G_WxqusI,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING001,Inglés,Present Simple - Básico,@spanishwithruth,https://www.youtube.com/watch?v=8bDm7r-vLcs,8bDm7r-vLcs,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING002,Inglés,Present Continuous,@spanishwithruth,https://www.youtube.com/watch?v=G1XVwJJXbKs,G1XVwJJXbKs,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING003,Inglés,Past Simple - Regular Verbs,@spanishwithruth,https://www.youtube.com/watch?v=npKUOlnojOM,npKUOlnojOM,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING004,Inglés,Past Simple - Irregular Verbs,@spanishwithruth,https://www.youtube.com/watch?v=iMaI6kfDI40,iMaI6kfDI40,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING005,Inglés,Present Perfect,@spanishwithruth,https://www.youtube.com/watch?v=d6jKV67n1dg,d6jKV67n1dg,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING006,Inglés,Future - Will,@spanishwithruth,https://www.youtube.com/watch?v=eUGTGW3ER4U,eUGTGW3ER4U,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING007,Inglés,Future - Going to,@spanishwithruth,https://www.youtube.com/watch?v=zAc8LTBrSqM,zAc8LTBrSqM,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING008,Inglés,Modal Verbs - Can/Could,@spanishwithruth,https://www.youtube.com/watch?v=JRJpRHTbg4w,JRJpRHTbg4w,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING009,Inglés,Modal Verbs - Must/Should,@spanishwithruth,https://www.youtube.com/watch?v=kxPCFljwJws,kxPCFljwJws,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING010,Inglés,Conditionals - Zero and First,@spanishwithruth,https://www.youtube.com/watch?v=9eIHZx7GMXU,9eIHZx7GMXU,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING011,Inglés,Conditionals - Second,@spanishwithruth,https://www.youtube.com/watch?v=FwbKE1F0SDQ,FwbKE1F0SDQ,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING012,Inglés,Passive Voice,@spanishwithruth,https://www.youtube.com/watch?v=kOHLGrtKPVU,kOHLGrtKPVU,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING013,Inglés,Reported Speech,@spanishwithruth,https://www.youtube.com/watch?v=vqXgqz-lPmc,vqXgqz-lPmc,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING014,Inglés,Comparative and Superlative,@spanishwithruth,https://www.youtube.com/watch?v=cFrqPKJI3Lc,cFrqPKJI3Lc,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING015,Inglés,Prepositions of Time,@spanishwithruth,https://www.youtube.com/watch?v=bX5k5fIUMWY,bX5k5fIUMWY,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING016,Inglés,Prepositions of Place,@spanishwithruth,https://www.youtube.com/watch?v=HQwlZZnJVXo,HQwlZZnJVXo,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING017,Inglés,Phrasal Verbs - Most Common,@spanishwithruth,https://www.youtube.com/watch?v=hLUEpzP2K1w,hLUEpzP2K1w,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING018,Inglés,WH Questions,@spanishwithruth,https://www.youtube.com/watch?v=hOdRjXiNYs8,hOdRjXiNYs8,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING019,Inglés,Connectors and Linking Words,@spanishwithruth,https://www.youtube.com/watch?v=vLXfUdmZBKg,vLXfUdmZBKg,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING020,Inglés,Reading Comprehension Strategies,@spanishwithruth,https://www.youtube.com/watch?v=L87ILFN_9RM,L87ILFN_9RM,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING021,Inglés,Vocabulary - Daily Routines,@spanishwithruth,https://www.youtube.com/watch?v=kJqFw9mmE-E,kJqFw9mmE-E,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING022,Inglés,Vocabulary - Food and Drinks,@spanishwithruth,https://www.youtube.com/watch?v=7jLJzk9VYE0,7jLJzk9VYE0,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING023,Inglés,Vocabulary - Family and Friends,@spanishwithruth,https://www.youtube.com/watch?v=xElHgGiCEvo,xElHgGiCEvo,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING024,Inglés,Vocabulary - Work and Jobs,@spanishwithruth,https://www.youtube.com/watch?v=yJZJRVHJAb8,yJZJRVHJAb8,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING025,Inglés,Vocabulary - Travel and Tourism,@spanishwithruth,https://www.youtube.com/watch?v=o4b9bNa3hqc,o4b9bNa3hqc,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING026,Inglés,Past Continuous,@spanishwithruth,https://www.youtube.com/watch?v=2NFMG2T6hWo,2NFMG2T6hWo,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING027,Inglés,Present Perfect Continuous,@spanishwithruth,https://www.youtube.com/watch?v=vKnE7wJKFi8,vKnE7wJKFi8,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING028,Inglés,Past Perfect,@spanishwithruth,https://www.youtube.com/watch?v=bwFADFgOLqc,bwFADFgOLqc,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING029,Inglés,Question Tags,@spanishwithruth,https://www.youtube.com/watch?v=6sSsGwyHQlY,6sSsGwyHQlY,,,,,es,,,,,,,,,2025-08-17,activo,,,
ING030,Inglés,Relative Clauses,@spanishwithruth,https://www.youtube.com/watch?v=6MIdPKgneG8,6MIdPKgneG8,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC001,Lectura Crítica,Tipos de textos,@colombiaaprende,https://www.youtube.com/watch?v=7TRvhJWv3H8,7TRvhJWv3H8,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC002,Lectura Crítica,Comprensión lectora - Estrategias,@colombiaaprende,https://www.youtube.com/watch?v=p4vl6CtbJRU,p4vl6CtbJRU,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC003,Lectura Crítica,Ideas principales y secundarias,@colombiaaprende,https://www.youtube.com/watch?v=_LjQHAE-QIE,_LjQHAE-QIE,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC004,Lectura Crítica,Inferencias en la lectura,@colombiaaprende,https://www.youtube.com/watch?v=N0kKCfFhCBs,N0kKCfFhCBs,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC005,Lectura Crítica,Texto argumentativo,@colombiaaprende,https://www.youtube.com/watch?v=1-j-1H00xRM,1-j-1H00xRM,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC006,Lectura Crítica,Texto expositivo,@colombiaaprende,https://www.youtube.com/watch?v=i_pFCZdUyKo,i_pFCZdUyKo,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC007,Lectura Crítica,Texto narrativo,@colombiaaprende,https://www.youtube.com/watch?v=pEaM37xU0JQ,pEaM37xU0JQ,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC008,Lectura Crítica,Texto informativo,@colombiaaprende,https://www.youtube.com/watch?v=OvZrhdy8AcI,OvZrhdy8AcI,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC009,Lectura Crítica,Análisis de infografías,@colombiaaprende,https://www.youtube.com/watch?v=n0qvf9N2svE,n0qvf9N2svE,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC010,Lectura Crítica,Análisis de caricaturas,@colombiaaprende,https://www.youtube.com/watch?v=3ckbz9JHww0,3ckbz9JHww0,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC011,Lectura Crítica,Conectores textuales,@colombiaaprende,https://www.youtube.com/watch?v=5OwlPO2NfKw,5OwlPO2NfKw,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC012,Lectura Crítica,Cohesión y coherencia,@colombiaaprende,https://www.youtube.com/watch?v=uGsJ1TiwdLU,uGsJ1TiwdLU,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC013,Lectura Crítica,Figuras literarias,@colombiaaprende,https://www.youtube.com/watch?v=VhzCGwqBPKA,VhzCGwqBPKA,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC014,Lectura Crítica,Estructura del párrafo,@colombiaaprende,https://www.youtube.com/watch?v=NvkQXXQOTHU,NvkQXXQOTHU,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC015,Lectura Crítica,Tipos de argumentos,@colombiaaprende,https://www.youtube.com/watch?v=2h0Dy5F7Uco,2h0Dy5F7Uco,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC016,Lectura Crítica,Falacias argumentativas,@colombiaaprende,https://www.youtube.com/watch?v=FFiB8CEuguc,FFiB8CEuguc,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC017,Lectura Crítica,Lógica proposicional,@colombiaaprende,https://www.youtube.com/watch?v=7zJZl9RW7ok,7zJZl9RW7ok,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC018,Lectura Crítica,Análisis crítico de textos,@colombiaaprende,https://www.youtube.com/watch?v=cGhMhJGcQhw,cGhMhJGcQhw,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC019,Lectura Crítica,Intención comunicativa,@colombiaaprende,https://www.youtube.com/watch?v=P4qJpgq-C7g,P4qJpgq-C7g,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC020,Lectura Crítica,Contexto y significado,@colombiaaprende,https://www.youtube.com/watch?v=fOcEUIo7bfI,fOcEUIo7bfI,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC021,Lectura Crítica,Sinónimos y antónimos,@colombiaaprende,https://www.youtube.com/watch?v=I0ZXBGzUP7U,I0ZXBGzUP7U,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC022,Lectura Crítica,Análisis de gráficos y tablas,@colombiaaprende,https://www.youtube.com/watch?v=J_NLlKQH93A,J_NLlKQH93A,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC023,Lectura Crítica,Textos discontinuos,@colombiaaprende,https://www.youtube.com/watch?v=OQaOYJdpQP4,OQaOYJdpQP4,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC024,Lectura Crítica,Premisas y conclusiones,@colombiaaprende,https://www.youtube.com/watch?v=Btkad8W7ayE,Btkad8W7ayE,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC025,Lectura Crítica,Estrategias de argumentación,@colombiaaprende,https://www.youtube.com/watch?v=JgCKdm8rJRk,JgCKdm8rJRk,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC026,Lectura Crítica,Textos filosóficos,@colombiaaprende,https://www.youtube.com/watch?v=g2O5VJ2-tRY,g2O5VJ2-tRY,,,,,es,,,,,,,,,2025-08-17,activo,,,
LC027,Lectura Crítica,Movimientos literarios,@colombiaaprende,https://www.youtube.com/watch?v=9EQVZ7lNlNs,9EQVZ7lNlNs,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT001,Matemáticas,Operaciones con fracciones,@julioelmateprofe,https://www.youtube.com/watch?v=0DA8JNHiZvI,0DA8JNHiZvI,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT002,Matemáticas,Potenciación - Propiedades,@julioelmateprofe,https://www.youtube.com/watch?v=4c6TXaIw2ek,4c6TXaIw2ek,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT003,Matemáticas,Radicación - Propiedades,@julioelmateprofe,https://www.youtube.com/watch?v=K0n7jKgqMFQ,K0n7jKgqMFQ,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT004,Matemáticas,Logaritmos - Propiedades,@julioelmateprofe,https://www.youtube.com/watch?v=sFc7PnrxMLw,sFc7PnrxMLw,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT005,Matemáticas,Notación científica,@julioelmateprofe,https://www.youtube.com/watch?v=dHKsIlMXKl0,dHKsIlMXKl0,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT006,Matemáticas,Porcentajes,@julioelmateprofe,https://www.youtube.com/watch?v=DfJCW6Mhfos,DfJCW6Mhfos,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT007,Matemáticas,Ecuaciones lineales,@julioelmateprofe,https://www.youtube.com/watch?v=AqvwJoTVjr8,AqvwJoTVjr8,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT008,Matemáticas,Ecuaciones cuadráticas,@julioelmateprofe,https://www.youtube.com/watch?v=W8hA6bTvLCc,W8hA6bTvLCc,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT009,Matemáticas,Sistemas de ecuaciones 2x2,@julioelmateprofe,https://www.youtube.com/watch?v=RxqTJPQLm7k,RxqTJPQLm7k,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT010,Matemáticas,Sistemas de ecuaciones 3x3,@julioelmateprofe,https://www.youtube.com/watch?v=lT2tECqZ1xo,lT2tECqZ1xo,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT011,Matemáticas,Factorización - Casos,@julioelmateprofe,https://www.youtube.com/watch?v=4iqEIB3iuGE,4iqEIB3iuGE,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT012,Matemáticas,Función lineal,@julioelmateprofe,https://www.youtube.com/watch?v=AoZpzAoC2-E,AoZpzAoC2-E,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT013,Matemáticas,Función cuadrática,@julioelmateprofe,https://www.youtube.com/watch?v=1BrLDlDmn4s,1BrLDlDmn4s,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT014,Matemáticas,Función exponencial,@julioelmateprofe,https://www.youtube.com/watch?v=f8Txr-jBRtQ,f8Txr-jBRtQ,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT015,Matemáticas,Función logarítmica,@julioelmateprofe,https://www.youtube.com/watch?v=Z_-XvQGJRPg,Z_-XvQGJRPg,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT016,Matemáticas,Sucesiones aritméticas,@julioelmateprofe,https://www.youtube.com/watch?v=xNJe0RTBiNI,xNJe0RTBiNI,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT017,Matemáticas,Sucesiones geométricas,@julioelmateprofe,https://www.youtube.com/watch?v=m4nYXdQ8IRM,m4nYXdQ8IRM,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT018,Matemáticas,Interés simple y compuesto,@julioelmateprofe,https://www.youtube.com/watch?v=HKBa_8xco3g,HKBa_8xco3g,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT019,Matemáticas,Geometría - Áreas,@julioelmateprofe,https://www.youtube.com/watch?v=Kw0qRucEt1Q,Kw0qRucEt1Q,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT020,Matemáticas,Geometría - Volúmenes,@julioelmateprofe,https://www.youtube.com/watch?v=ufgp31O_-lQ,ufgp31O_-lQ,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT021,Matemáticas,Teorema de Pitágoras,@julioelmateprofe,https://www.youtube.com/watch?v=cwPqh0GwANs,cwPqh0GwANs,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT022,Matemáticas,Triángulos semejantes,@julioelmateprofe,https://www.youtube.com/watch?v=2WzKhz2K_Xg,2WzKhz2K_Xg,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT023,Matemáticas,Razones trigonométricas,@julioelmateprofe,https://www.youtube.com/watch?v=yBe8v0jzkow,yBe8v0jzkow,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT024,Matemáticas,Teorema del seno,@julioelmateprofe,https://www.youtube.com/watch?v=h0PlOTQCz8s,h0PlOTQCz8s,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT025,Matemáticas,Teorema del coseno,@julioelmateprofe,https://www.youtube.com/watch?v=W2Zr_1DhwI8,W2Zr_1DhwI8,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT026,Matemáticas,Identidades trigonométricas,@julioelmateprofe,https://www.youtube.com/watch?v=7JKJBUDj8mI,7JKJBUDj8mI,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT027,Matemáticas,Combinaciones,@julioelmateprofe,https://www.youtube.com/watch?v=CKDwwOdboko,CKDwwOdboko,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT028,Matemáticas,Permutaciones,@julioelmateprofe,https://www.youtube.com/watch?v=eWJrDvu8Z6s,eWJrDvu8Z6s,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT029,Matemáticas,Probabilidad básica,@julioelmateprofe,https://www.youtube.com/watch?v=XYb5aEUVqXA,XYb5aEUVqXA,,,,,es,,,,,,,,,2025-08-17,activo,,,
MAT030,Matemáticas,"Media, mediana y moda",@julioelmateprofe,https://www.youtube.com/watch?v=k9h-HqY0XKU,k9h-HqY0XKU,,,,,es,,,,,,,,,2025-08-17,activo,,,
