codigo_tema;area_evaluada;tema_principal;canal_sugerido;youtube_url;transcript;tema tag;;;;;;;;;;;;;
CN032;Ciencias Naturales;Tiro parabolico;@FísicaPRO;https://www.youtube.com/watch?v=DjmC8An-5oo;;;;;;;;;;;;;;;
CN033;Ciencias Naturales;Movimiento circular uniforme;@Susi Profe;https://www.youtube.com/watch?v=JVGvzWgO5i4;;;;;;;;;;;;;;;
CN034;Ciencias Naturales;Leyes de Newton;@QuantumFracture;https://www.youtube.com/watch?v=q8YEVdbKBlo;;;;;;;;;;;;;;;
CN035;Ciencias Naturales;Fuerzas - Diagrama de cuerpo libre;@MateFacil-Física;https://www.youtube.com/watch?v=zAGp8cVpz1Q;;;;;;;;;;;;;;;
CN036;Ciencias Naturales;Trabajo y energia;@FiAsMat;https://www.youtube.com/watch?v=dSiOj9M6P_A;;;;;;;;;;;;;;;
CN037;Ciencias Naturales;Potencia mecanica;@Susi Profe;https://www.youtube.com/watch?v=b7xGz-Qqq9s;;;;;;;;;;;;;;;
CN038;Ciencias Naturales;Conservacion de la energi­a;@Susi Profe;https://www.youtube.com/watch?v=f4IWnif1wjs;;;;;;;;;;;;;;;
CN039;Ciencias Naturales;Cantidad de movimiento;@Matemóvil;https://www.youtube.com/watch?v=mes4Ui0NdFc;;;;;;;;;;;;;;;
CN040;Ciencias Naturales;Choques y colisiones;@Es Ciencia ;https://www.youtube.com/watch?v=f2ABNZVMIC4;;;;;;;;;;;;;;;
CN041;Ciencias Naturales;Movimiento armonico simple;@Matemóvil;https://www.youtube.com/watch?v=ipxh8T0f-BY;;;;;;;;;;;;;;;
CN042;Ciencias Naturales;Ondas mecanicas;@Es Ciencia ;https://www.youtube.com/watch?v=FRLV0b-o6MM;;;;;;;;;;;;;;;
CN043;Ciencias Naturales;Sonido - Propiedades;@FiAsMat;https://www.youtube.com/watch?v=Fn3R6HF0cVg;;;;;;;;;;;;;;;
CN044;Ciencias Naturales;Optica - Reflexion;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=KO2uyS5kc8Q&t=46s;;;;;;;;;;;;;;;
CN044;Ciencias Naturales;Optica - Refraccion;@HRom;https://www.youtube.com/watch?v=3D-YZ6DCb8o;;;;;;;;;;;;;;;
CN045;Ciencias Naturales;Espejos y lentes;@Preu Cpech Canal Oficial;https://www.youtube.com/watch?v=aB2D02Sd67Q;;;;;;;;;;;;;;;
CN046;Ciencias Naturales;Termodinamica - Calor y temperatura;@CuriosaMente;https://youtu.be/ZLAoKBVglU8?si=7nY0dMGRbXc2i-xp;;;;;;;;;;;;;;;
CN047;Ciencias Naturales;Leyes de la termodinamica;@QuantumFracture;https://www.youtube.com/watch?v=Bvfn6eUhUAc;;;;;;;;;;;;;;;
CN048;Ciencias Naturales;Electrostatica;@QuantumFracture;https://www.youtube.com/watch?v=QBTgzYmkC_I;;;;;;;;;;;;;;;
CN049;Ciencias Naturales;Circuitos electricos;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=kHZ8SD7jiiA;;;;;;;;;;;;;;;
CN050;Ciencias Naturales;Magnetismo;@Date un Vlog;https://www.youtube.com/watch?v=5duDOVBCLKk;;;;;;;;;;;;;;;
CN051;Ciencias Naturales;Electromagnetismo;@Date un Vlog;https://youtu.be/_lrWIogPNFo?si=8dlNM4nbGBxM019l;;;;;;;;;;;;;;;
CN052;Ciencias Naturales;Fluidos - Hidrostatica;@FISICA EN SEGUNDOS;https://www.youtube.com/watch?v=DfgPeXZuoa8;;;;;;;;;;;;;;;
CN053;Ciencias Naturales;Principio de Pascal;@Profesor Sergio Llanos;https://www.youtube.com/watch?v=UbtdKGv7pb8;;;;;;;;;;;;;;;
CN054;Ciencias Naturales;Principio de ArquÃ­medes;@Profesor Sergio Llanos;https://www.youtube.com/watch?v=SfZsUxv99NU;;;;;;;;;;;;;;;
ING001;InglÃ©s;Present Simple - Basico;@Alejo Lopera Inglés;https://www.youtube.com/watch?v=BsaK4Fdpz_c;;;;;;;;;;;;;;;
ING002;InglÃ©s;Present Continuous;@Inglés Kike Rodríguez;https://www.youtube.com/watch?v=S7B_F7mGydA;;;;;;;;;;;;;;;
ING003;InglÃ©s;Past Simple - Regular Verbs;@Inglés Kike Rodríguez;https://www.youtube.com/watch?v=uxg75mOm9ek;;;;;;;;;;;;;;;
ING004;InglÃ©s;Past Simple - Irregular Verbs;@Alejo Lopera Inglés;https://www.youtube.com/watch?v=ZYTLiP8Y1L4;;;;;;;;;;;;;;;
ING005;InglÃ©s;Present Perfect;@Francisco Ochoa Inglés Fácil;https://www.youtube.com/watch?v=6ATj9Do_RL8;;;;;;;;;;;;;;;
ING006;InglÃ©s;Future - Will;@Inglés Kike Rodríguez;https://www.youtube.com/watch?v=BWDYnpaqGf8;;;;;;;;;;;;;;;
ING007;InglÃ©s;Future - Going to;@English2Me - Aprende Inglés Fácil y Rápido;https://www.youtube.com/watch?v=KYZeeT5MdFA;;;;;;;;;;;;;;;
ING008;InglÃ©s;Modal Verbs - Can/Could;@Francisco Ochoa Inglés Fácil;https://www.youtube.com/watch?v=YBeUfNEFDzk;;;;;;;;;;;;;;;
ING009;InglÃ©s;Modal Verbs - Must/Should;@Inglés Para Perezosos;https://www.youtube.com/watch?v=Xhd1bEVXoZk;;;;;;;;;;;;;;;
ING010;InglÃ©s;Conditionals - Zero and First;@Francisco Ochoa Inglés Fácil;https://www.youtube.com/watch?v=_SDs2NbYlAo;;;;;;;;;;;;;;;
ING011;InglÃ©s;Conditionals - Second;@Inglés Para Perezosos;https://www.youtube.com/watch?v=Nql1Y_TuIEM;;;;;;;;;;;;;;;
ING012;InglÃ©s;Passive Voice;@Inglés Kike Rodríguez;https://www.youtube.com/watch?v=mv41eq-mgis;;;;;;;;;;;;;;;
ING013;InglÃ©s;Reported Speech;@Alejo Lopera Inglés;https://www.youtube.com/watch?v=HLFqFIjelFg;;;;;;;;;;;;;;;
ING014;InglÃ©s;Comparative and Superlative;@Inglés con el Güero;https://www.youtube.com/watch?v=x2_-XmYDH04;;;;;;;;;;;;;;;
ING015;InglÃ©s;Prepositions of Time;@Inglés Fácil con Monica Cely;https://www.youtube.com/watch?v=BNcY6REe_uI;;;;;;;;;;;;;;;
ING016;InglÃ©s;Prepositions of Place;@Inglés Kike Rodríguez;https://www.youtube.com/watch?v=Xtx93Nq6-1o;;;;;;;;;;;;;;;
ING017;InglÃ©s;Phrasal Verbs - Most Common;@superholly;https://www.youtube.com/watch?v=EAAyzMvUNS0;;;;;;;;;;;;;;;
ING018;InglÃ©s;WH Questions;@DAVENGLISH;https://www.youtube.com/watch?v=Cs_fz4L9IFY;;;;;;;;;;;;;;;
ING019;InglÃ©s;Connectors and Linking Words;@Inglés Para Perezosos;https://www.youtube.com/watch?v=Vs7vlKeTT_A;;;;;;;;;;;;;;;
ING020;InglÃ©s;Reading Comprehension Strategies;@Inglés Para Perezosos;https://www.youtube.com/watch?v=LF0Zk84tL6s;;;;;;;;;;;;;;;
ING021;InglÃ©s;Vocabulary - Daily Routines;@Francisco Ochoa Inglés Fácil;https://www.youtube.com/watch?v=Fr00BsHUmxU;;;;;;;;;;;;;;;
ING022;InglÃ©s;Vocabulary - Food and Drinks;@ENGLISH BITES;https://www.youtube.com/watch?v=yezpvLy6eRM;;;;;;;;;;;;;;;
ING023;InglÃ©s;Vocabulary - Family and Friends;@Inglés Paso a Paso con Lucie;https://www.youtube.com/watch?v=SWG6vEhdjPs;;;;;;;;;;;;;;;
ING024;InglÃ©s;Vocabulary - Work and Jobs;@7MLS - Inglés;https://www.youtube.com/watch?v=fSxarWNizQ8;;;;;;;;;;;;;;;
ING025;InglÃ©s;Vocabulary - Travel and Tourism;@Kale Anders;https://www.youtube.com/watch?v=NcPuoOFvGAI;;;;;;;;;;;;;;;
ING026;InglÃ©s;Past Continuous;@Mr. Rivera;https://www.youtube.com/watch?v=k6qsMgVCW3s;;;;;;;;;;;;;;;
ING027;InglÃ©s;Present Perfect Continuous;@YouTalk TV;https://www.youtube.com/watch?v=9Ke6xqWtojw;;;;;;;;;;;;;;;
ING028;InglÃ©s;Past Perfect;@Francisco Ochoa Inglés Fácil;https://www.youtube.com/watch?v=PQ6s89XUvz4;;;;;;;;;;;;;;;
ING029;InglÃ©s;Question Tags;@Inglés Kike Rodríguez;https://www.youtube.com/watch?v=I_RlpOOT66w;;;;;;;;;;;;;;;
ING030;InglÃ©s;Relative Clauses;@Inglés Kike Rodríguez;https://www.youtube.com/watch?v=BYAz8Ocqehg;;;;;;;;;;;;;;;
LC001;Lectura Critica;Tipos de textos;@Profesor Paolo Astorga;https://www.youtube.com/watch?v=tMP1lds7pLM;;;;;;;;;;;;;;;
LC002;Lectura Critica;Comprension lectora - Estrategias;@Pablo Lomeli;https://www.youtube.com/watch?v=TmtJZGI18R0&t=123s;;;;;;;;;;;;;;;
LC003;Lectura Critica;Ideas principales y secundarias;@Pablo Lomeli;https://www.youtube.com/watch?v=4v6-sU7QJ_w;;;;;;;;;;;;;;;
LC004;Lectura Critica;Inferencias en la lectura;@Profesor Paolo Astorga;https://www.youtube.com/watch?v=5Y3kTBX_DIE;;;;;;;;;;;;;;;
LC005;Lectura Critica;Texto argumentativo;@Clases Particulares en Ávila;https://www.youtube.com/watch?v=Mq4Hzx1peNU;;;;;;;;;;;;;;;
LC006;Lectura Critica;Texto expositivo;@Clases Particulares en Ávila;https://www.youtube.com/watch?v=jpLvojJoIn8;;;;;;;;;;;;;;;
LC007;Lectura Critica;Texto narrativo;@Clases Particulares en Ávila;https://www.youtube.com/watch?v=e9dtyjR6EkI;;;;;;;;;;;;;;;
LC008;Lectura Critica;Texto informativo;@El Profe Youtuber;https://www.youtube.com/watch?v=JDCRUf_s-rg;;;;;;;;;;;;;;;
LC009;Lectura Critica;Analisis de infografi­as;@Clases Particulares en Ávila;https://youtu.be/hgTxBYNlbT0?si=DSoFB_SBXaSeWTR6;;;;;;;;;;;;;;;
LC010;Lectura Critica;Analisis de caricaturas;@cStav Guxt;https://www.youtube.com/watch?v=qwGL0ummgGc;;;;;;;;;;;;;;;
LC011;Lectura Critica;Conectores textuales;@Clases Particulares en Ávila;https://www.youtube.com/watch?v=RjmHDVBFxQ0;;;;;;;;;;;;;;;
LC012;Lectura Critica;Cohesion y coherencia;@Clases Particulares en Ávila;https://www.youtube.com/watch?v=YdGwL2eJhRQ;;;;;;;;;;;;;;;
LC013;Lectura Critica;Figuras literarias;@Profesor Paolo Astorga;https://www.youtube.com/watch?v=xeVfyy9UP5E;;;;;;;;;;;;;;;
LC014;Lectura Critica;Estructura del parrafo;@Profe Marcos Vélez;https://www.youtube.com/watch?v=_WJeJp0qEKU;;;;;;;;;;;;;;;
LC015;Lectura Critica;Tipos de argumentos;@TeoCom;https://www.youtube.com/watch?v=5D82MVBDdFE;;;;;;;;;;;;;;;
LC016;Lectura Critica;Falacias argumentativas;@Pablo Molinari;https://www.youtube.com/watch?v=2hvWnst9qX8;;;;;;;;;;;;;;;
LC017;Lectura Critica;Logica proposicional;@Estudio Facil;https://www.youtube.com/watch?v=s7iNwvRsgTw;;;;;;;;;;;;;;;
LC018;Lectura Critica;Analisis cri­tico de textos;@LA PROFE MÓNICA;https://www.youtube.com/watch?v=a1T4yDsOnHk;;;;;;;;;;;;;;;
LC019;Lectura Critica;Intencion comunicativa;@Astraway;https://www.youtube.com/watch?v=fOo7TLx9ots;;;;;;;;;;;;;;;
LC020;Lectura Critica;Signifcado por contexto;@Anyi Leal;https://www.youtube.com/watch?v=2Iut55n6hq8;;;;;;;;;;;;;;;
LC020;Lectura Critica;Contexto y significado;@Miss Sherley;https://www.youtube.com/watch?v=3XU7NGfpXgU;;;;;;;;;;;;;;;
LC021;Lectura Critica;Sinonimos y antonimos;@Smile and Learn - Español;https://www.youtube.com/watch?v=mOB0T6_ayo8;;;;;;;;;;;;;;;
LC022;Lectura Critica;Analisis de graficos y tablas;@Daniel Carreón;https://www.youtube.com/watch?v=Xh7xZnO88_s;;;;;;;;;;;;;;;
LC023;Lectura Critica;Textos discontinuos;@Astraway;https://www.youtube.com/watch?v=uPJyT2MiEcs;;;;;;;;;;;;;;;
LC024;Lectura Critica;Premisas y conclusiones;@Gilberto Peñuñuri Ruiz;https://www.youtube.com/watch?v=Iw1KiSOQNUA;;;;;;;;;;;;;;;
LC025;Lectura Critica;Estrategias de argumentacion;@Roxana Kreimer;https://www.youtube.com/watch?v=mSEp3TC90XA;;;;;;;;;;;;;;;
LC026;Lectura Critica;Textos filosoficos;@Profesor Paolo Astorga;https://www.youtube.com/watch?v=RQNVom1Q1SU;;;;;;;;;;;;;;;
LC027;Lectura Critica;Movimientos literarios;@Astraway;https://www.youtube.com/watch?v=OebSAaYA3SE;;;;;;;;;;;;;;;
MAT001;Matematicas;Operaciones con fracciones;@Matemóvil;https://www.youtube.com/watch?v=OStPJUn24jI;;;;;;;;;;;;;;;
MAT002;Matematicas;Potenciacion - Propiedades;@PROPIEDADES de las POTENCIAS ;https://www.youtube.com/watch?v=y12Op8QMjHs;;;;;;;;;;;;;;;
MAT003;Matematicas;Radicacion - Propiedades;@Matemáticas con Juan;https://www.youtube.com/watch?v=3iU69afc5dI;;;;;;;;;;;;;;;
MAT004;Matematicas;Logaritmos - Propiedades;@Matemáticas con Juan;https://www.youtube.com/watch?v=rCr9atQ-wkA;;;;;;;;;;;;;;;
MAT005;Matematicas;Notacion cientifica;@Susi Profe;https://www.youtube.com/watch?v=cVEO-u1xIVA;;;;;;;;;;;;;;;
MAT006;Matematicas;Porcentajes;@Susi Profe;https://www.youtube.com/watch?v=gM9BAOBeTKg;;;;;;;;;;;;;;;
MAT007;Matematicas;Ecuaciones lineales;@Matemáticas con Juan;https://www.youtube.com/watch?v=WC-cfVDY81c;;;;;;;;;;;;;;;
MAT008;Matematicas;Ecuaciones cuadraticas;@Matemáticas profe Alex;https://www.youtube.com/watch?v=aYkOsFHCqPM&list=PLeySRPnY35dF11EWceCxzKtcaZidCkXXh;;;;;;;;;;;;;;;
MAT009;Matematicas;Sistemas de ecuaciones 2x2;@Matemáticas profe Alex;https://www.youtube.com/watch?v=LTfv1G2iYuQ;;;;;;;;;;;;;;;
MAT010;Matematicas;Sistemas de ecuaciones 3x3;@Matemáticas profe Alex;https://www.youtube.com/watch?v=5bZ1j6wom-0&list=PLeySRPnY35dGyuZPOjrL_Rhm2k5y-FB5T;;;;;;;;;;;;;;;
MAT011;Matematicas;Factorizacion - Casos;@Profesor Sergio Llanos;https://www.youtube.com/watch?v=i0lKQNiLVsM;;;;;;;;;;;;;;;
MAT012;Matematicas;Funcion lineal;@IngE Darwin;https://www.youtube.com/watch?v=7i4mjqRn-nM;;;;;;;;;;;;;;;
MAT013;Matematicas;Funcion cuadratica;@Ticmas Educación;https://www.youtube.com/watch?v=svqAxfMPw7Q;;;;;;;;;;;;;;;
MAT014;Matematicas;Funcion exponencial;@Academia Internet;https://www.youtube.com/watch?v=yBe1pUp1ZRw;;;;;;;;;;;;;;;
MAT015;Matematicas;Funcion logaritmica;@BlueDot;https://www.youtube.com/watch?v=qRgnfH8-VOI;;;;;;;;;;;;;;;
MAT016;Matematicas;Sucesiones aritmeticas;@Susi Profe;https://www.youtube.com/watch?v=VUJ6d0qmO34;;;;;;;;;;;;;;;
MAT017;Matematicas;Sucesiones geometricas;@Susi Profe;https://www.youtube.com/watch?v=q-c5VLWvL6w;;;;;;;;;;;;;;;
MAT018;Matematicas;Interes simple;@Susi Profe;https://www.youtube.com/watch?v=0l-_ZKwLoYY;;;;;;;;;;;;;;;
MAT018;Matematicas;Interes compuesto ;@Susi Profe;https://www.youtube.com/watch?v=A_CwrvLAETc;;;;;;;;;;;;;;;
MAT019;Matematicas;Geometria - Areas;@Matemáticas profe Alex;https://www.youtube.com/watch?v=DPcP6gz495U;;;;;;;;;;;;;;;
MAT020;Matematicas;Geometria - Volumenes;@Matemáticas profe Alex;https://www.youtube.com/watch?v=1IO8oZkrkXI;;;;;;;;;;;;;;;
MAT021;Matematicas;Teorema de Pitagoras;@Derivando;https://www.youtube.com/watch?v=4I6YIccTkcA;;;;;;;;;;;;;;;
MAT022;Matematicas;Triangulos semejantes;@math2me;https://www.youtube.com/watch?v=XYBOp1uDgAU;;;;;;;;;;;;;;;
MAT023;Matematicas;Razones trigonometricas;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=WdfWMMrsCLo;;;;;;;;;;;;;;;
MAT024;Matematicas;Teorema del seno;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=1ojs1lfBj80;;;;;;;;;;;;;;;
MAT025;Matematicas;Teorema del coseno;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=1ojs1lfBj80;;;;;;;;;;;;;;;
MAT026;Matematicas;Identidades trigonometricas;@Matemáticas profe Alex;https://www.youtube.com/watch?v=PbvKVSWyvpI;;;;;;;;;;;;;;;
MAT027;Matematicas;Combinaciones;@julioprofenet;https://www.youtube.com/watch?v=DhOeAPRXGxM;;;;;;;;;;;;;;;
MAT028;Matematicas;Permutaciones;@Matemáticas profe Alex;https://www.youtube.com/watch?v=h4IfRXoVcpo;;;;;;;;;;;;;;;
MAT029;Matematicas;Probabilidad basica;@Matemáticas con Juan;https://www.youtube.com/watch?v=ifyDuAw0MvE;;;;;;;;;;;;;;;
MAT030;Matematicas;Media, mediana y moda;@Academia Internet;https://www.youtube.com/watch?v=zAGn--QNmg8;;;;;;;;;;;;;;;
MAT031;Matematicas;Desviacion estandar;@Matemáticas con Juan;https://www.youtube.com/watch?v=oZRaDwnpXkY;;;;;;;;;;;;;;;
MAT032;Matematicas;Teoria de conjuntos;@julioprofenet;https://www.youtube.com/watch?v=nRfQ7a8GMF0;;;;;;;;;;;;;;;
MAT033;Matematicas;Logica proposicional;@Matemáticas con Juan;https://www.youtube.com/watch?v=vKe0UKSpNQQ;;;;;;;;;;;;;;;
MAT034;Matematicas;Inecuaciones lineales;@Matemáticas con Juan;https://www.youtube.com/watch?v=CkVXbU-PNRs;;;;;;;;;;;;;;;
MAT035;Matematicas;Inecuaciones cuadraticas;@Matemáticas con Juan;https://www.youtube.com/watch?v=_uW4nVdCWzQ;;;;;;;;;;;;;;;
MAT036;Matematicas;Valor absoluto;@Susi Profe;https://www.youtube.com/watch?v=SUghZfsQqUY;;;;;;;;;;;;;;;
MAT037;Matematicas;Numeros complejos;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=hWbwBGPLvk4;;;;;;;;;;;;;;;
MAT038;Matematicas;Plano cartesiano;@Matemáticas con Juan;https://www.youtube.com/watch?v=QTrE4x5DPZ8;;;;;;;;;;;;;;;
MAT039;Matematicas;Transformaciones en el plano;@Profe Danny ;https://www.youtube.com/watch?v=dtz4_fCGzFk;;;;;;;;;;;;;;;
MAT040;Matematicas;Li­mites - Introduccion;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=pYVVPqphPS0&t=64s;;;;;;;;;;;;;;;
MAT041;Matematicas;Derivadas - Introduccion;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=_6-zwdrqD3U&t=57s;;;;;;;;;;;;;;;
MAT042;Matematicas;Integrales - Introduccion;@El Traductor de Ingeniería;https://www.youtube.com/watch?v=Ec-cGjh0Fr0&t=60s;;;;;;;;;;;;;;;
SOC001;Sociales y Competencias Ciudadanas;Constitucion de 1991;@DERECHO CON GUACA;https://www.youtube.com/watch?v=RVJzxMH_jEU&t=167s;;;;;;;;;;;;;;;
SOC002;Sociales y Competencias Ciudadanas;Derechos fundamentales;@DERECHO CON GUACA;https://www.youtube.com/watch?v=wYaUc_vtk5Q;;;;;;;;;;;;;;;
SOC003;Sociales y Competencias Ciudadanas;Mecanismos de proteccion;@Profelogía;https://www.youtube.com/watch?v=pr_vZ9U5LgQ;;;;;;;;;;;;;;;
SOC004;Sociales y Competencias Ciudadanas;Mecanismos de participacion;@Mundo Sorprendente!;https://www.youtube.com/watch?v=NvnU8rznTiE;;;;;;;;;;;;;;;
SOC005;Sociales y Competencias Ciudadanas;Ramas del poder publico;@Rafael Guarín;https://www.youtube.com/watch?v=zCzJO4Z29Ag;;;;;;;;;;;;;;;
SOC006;Sociales y Competencias Ciudadanas;Organismos de control;@TULIO FERNÁNDEZ;https://www.youtube.com/watch?v=KOP3sSpDRxE;;;;;;;;;;;;;;;
SOC007;Sociales y Competencias Ciudadanas;Multiculturalismo en Colombia;@Tu Clase De Ciencias;https://www.youtube.com/watch?v=8qsc4DlaVEg;;;;;;;;;;;;;;;
SOC008;Sociales y Competencias Ciudadanas;Derecho Internacional Humanitario;@Helder Hamilton Montilla Velasquez;https://www.youtube.com/watch?v=QJMEkz4gDuk;;;;;;;;;;;;;;;
SOC009;Sociales y Competencias Ciudadanas;Justicia transicional;@Centro Nacional de Memoria Histórica;https://www.youtube.com/watch?v=0fwB7devCxo;;;;;;;;;;;;;;;
SOC010;Sociales y Competencias Ciudadanas;Ilustracion - Siglo XVIII;@Cuaderno de Historia;https://www.youtube.com/watch?v=UVmS_dWcWEk;;;;;;;;;;;;;;;
SOC011;Sociales y Competencias Ciudadanas;Revolucion Francesa;@Infonimados;https://www.youtube.com/watch?v=3XmZnfDvvu4;;;;;;;;;;;;;;;
SOC012;Sociales y Competencias Ciudadanas;Revolucion Industrial;@Infonimados;https://www.youtube.com/watch?v=KdknJfxL8kU;;;;;;;;;;;;;;;
SOC013;Sociales y Competencias Ciudadanas;Primera Guerra Mundial;@Cuaderno de Historia;https://www.youtube.com/watch?v=2B08x2hV0vA;;;;;;;;;;;;;;;
SOC014;Sociales y Competencias Ciudadanas;Segunda Guerra Mundial;@Memorias de Pez;https://www.youtube.com/watch?v=sRi0bCjnMFs;;;;;;;;;;;;;;;
SOC015;Sociales y Competencias Ciudadanas;Guerra Fria;@Memorias de Pez;https://www.youtube.com/watch?v=CRMzOe0FaOY;;;;;;;;;;;;;;;
SOC016;Sociales y Competencias Ciudadanas;Independencia de Colombia;@Astraway;https://www.youtube.com/watch?v=UsInwaUbMBc;;;;;;;;;;;;;;;
SOC017;Sociales y Competencias Ciudadanas;Patria Boba;@Daniel Cardona Caicedo;https://www.youtube.com/watch?v=01jUJH205nI;;;;;;;;;;;;;;;
SOC018;Sociales y Competencias Ciudadanas;Guerra bipartidista;@Diego Mesa;https://www.youtube.com/watch?v=-xcEAZFZ4tA;;;;;;;;;;;;;;;
SOC019;Sociales y Competencias Ciudadanas;Frente Nacional;@colombiaaprende;https://www.youtube.com/watch?v=LkpBx2JpLfo;;;;;;;;;;;;;;;
SOC020;Sociales y Competencias Ciudadanas;Violencia en Colombia siglo XX;@Nestor Montaña;https://www.youtube.com/watch?v=rM-VISpMCL8;;;;;;;;;;;;;;;
