codigo_tema,area_evaluada,tema_principal,subtema,tema_especifico,competencia_icfes,componente,afirmacion,evidencia,grado_introduccion,prerequisitos,temas_relacionados,orden_secuencial,nivel_dificultad,importancia_icfes,frecuencia_evaluacion,horas_teoria,horas_practica,numero_ejercicios_recomendados,sesiones_refuerzo,recursos_teoria,recursos_practica,recursos_evaluacion,umbral_dominio,tiempo_retencion,indicadores_dominio,estilo_aprendizaje_optimo,metodologia_recomendada,tipo_evaluacion,estado
LC011,Lectura Crítica,Tipos de texto,Textos argumentativos,Estructura argumentativa y persuasión,Reflexionar a partir de un texto y evaluar su contenido,Tipos textuales,Analiza la estructura de textos argumentativos,Identifica tesis argumentos y conclusión,9°,{LC007;LC010},{LC012;LC015},11,3,5,22.4,4,8,45,4,{estructura argumentativa;técnicas de persuasión},{ensayos argumentativos;análisis de editoriales},{preguntas de estructura argumentativa},80.0,21,{identifica tesis y argumentos;evalúa fuerza argumentativa},crítico-analítico,argumentativo,selección múltiple,activo
LC012,Lectura Crítica,Comprensión inferencial,Inferencias locales,Información implícita en párrafos,Identificar y entender los contenidos locales que conforman un texto,Comprensión inferencial,Infiere información que no está explícita,Deduce relaciones causales y consecuencias,8°,{LC008;LC011},{LC013;LC016},12,3,5,20.8,4,9,55,3,{estrategias inferenciales;tipos de inferencias},{textos con preguntas inferenciales;ejercicios de deducción},{preguntas de inferencias locales},75.0,28,{hace inferencias correctas 7/10 veces;justifica deducciones},lógico-inferencial,deductivo,selección múltiple,activo
LC013,Lectura Crítica,Comprensión inferencial,Inferencias globales,Conclusiones sobre el texto completo,Comprender cómo se articulan las partes de un texto para darle un sentido global,Comprensión inferencial,Infiere el sentido global del texto,Deduce mensajes implícitos del texto completo,9°,{LC009;LC012},{LC014;LC017},13,3,4,19.3,5,8,50,3,{inferencias globales;síntesis textual},{textos complejos;ejercicios de síntesis},{preguntas de inferencias globales},75.0,21,{sintetiza mensaje principal;hace inferencias globales válidas},sintético-global,holístico,selección múltiple,activo
LC014,Lectura Crítica,Comprensión inferencial,Ironía y sentido figurado,Lenguaje no literal en textos,Reflexionar a partir de un texto y evaluar su contenido,Comprensión inferencial,Identifica el uso de lenguaje figurado,Reconoce ironía metáforas y sentido figurado,10°,{LC010;LC013},{LC015;LC018},14,4,3,14.7,4,7,40,3,{figuras retóricas;lenguaje figurado},{textos con ironía;ejercicios de interpretación},{preguntas de sentido figurado},70.0,35,{identifica ironía y metáforas;interpreta sentido figurado},imaginativo-inferencial,interpretativo,selección múltiple,activo
LC015,Lectura Crítica,Análisis contextual,Contexto histórico y cultural,Influencia del contexto en el texto,Reflexionar a partir de un texto y evaluar su contenido,Contexto,Relaciona el texto con su contexto histórico,Identifica influencias culturales y temporales,11°,{LC003;LC014},{LC016;LC019},15,4,3,12.6,5,6,35,3,{contexto histórico;influencias culturales},{textos situados históricamente;análisis contextual},{preguntas de contexto},70.0,42,{relaciona con contexto histórico;identifica influencias culturales},histórico-cultural,contextual,selección múltiple,activo
LC016,Lectura Crítica,Análisis estilístico,Recursos expresivos,Figuras literarias y estilísticas,Reflexionar a partir de un texto y evaluar su contenido,Estilo,Identifica recursos expresivos del autor,Reconoce figuras literarias y su función,10°,{LC012;LC015},{LC017;LC020},16,4,2,11.8,4,6,30,2,{figuras literarias;recursos estilísticos},{textos literarios;análisis estilístico},{preguntas de recursos expresivos},65.0,35,{identifica figuras literarias;explica función expresiva},estético-analítico,estilístico,selección múltiple,activo
LC017,Lectura Crítica,Textos discontinuos,Gráficos e infografías,Interpretación de información visual,Identificar y entender los contenidos locales que conforman un texto,Textos discontinuos,Interpreta información en gráficos,Extrae datos de tablas gráficos e infografías,8°,{LC013;LC016},{LC018;LC021},17,2,4,17.5,3,8,60,2,{lectura de gráficos;interpretación visual},{infografías educativas;ejercicios de lectura visual},{preguntas de textos discontinuos},80.0,21,{interpreta gráficos correctamente;extrae datos específicos},visual-cuantitativo,visual,selección múltiple,activo
LC018,Lectura Crítica,Textos discontinuos,Mapas y esquemas,Información espacial y organizacional,Comprender cómo se articulan las partes de un texto para darle un sentido global,Textos discontinuos,Interpreta mapas y esquemas organizacionales,Lee información espacial y jerárquica,8°,{LC014;LC017},{LC019;LC022},18,2,3,15.2,3,7,50,2,{lectura de mapas;interpretación de esquemas},{mapas temáticos;organigramas},{preguntas de mapas y esquemas},75.0,28,{lee mapas correctamente;interpreta esquemas organizacionales},espacial-visual,espacial,selección múltiple,activo
LC019,Lectura Crítica,Textos multimodales,Textos mixtos,Combinación de texto e imagen,Comprender cómo se articulan las partes de un texto para darle un sentido global,Textos multimodales,Integra información textual y visual,Relaciona texto e imagen para construir sentido,9°,{LC015;LC018},{LC020;LC023},19,3,3,13.9,4,6,40,3,{textos multimodales;relación texto-imagen},{revistas ilustradas;análisis multimodal},{preguntas de textos mixtos},70.0,21,{integra texto e imagen;construye sentido multimodal},multimodal,integrador,selección múltiple,activo
LC020,Lectura Crítica,Géneros discursivos,Crónica periodística,Características del género cronístico,Identificar y entender los contenidos locales que conforman un texto,Géneros,Identifica características de la crónica,Reconoce elementos narrativos y periodísticos,10°,{LC016;LC019},{LC021;LC024},20,3,2,10.4,3,5,25,2,{características de la crónica;ejemplos periodísticos},{crónicas modelo;análisis de género},{preguntas de crónica},65.0,35,{identifica elementos cronísticos;distingue de otros géneros},periodístico,genérico,selección múltiple,activo
LC021,Lectura Crítica,Géneros discursivos,Ensayo académico,Estructura y características del ensayo,Reflexionar a partir de un texto y evaluar su contenido,Géneros,Analiza la estructura del ensayo académico,Identifica introducción desarrollo y conclusión argumentativa,11°,{LC017;LC020},{LC022;LC025},21,4,3,12.1,4,6,30,3,{estructura del ensayo;características académicas},{ensayos modelo;análisis estructural},{preguntas de ensayo académico},70.0,28,{identifica estructura ensayística;reconoce argumentación académica},académico-analítico,estructural,selección múltiple,activo
LC022,Lectura Crítica,Géneros discursivos,Editorial periodístico,Opinión y argumentación en medios,Reflexionar a partir de un texto y evaluar su contenido,Géneros,Analiza editoriales periodísticos,Identifica posición editorial y argumentos,10°,{LC018;LC021},{LC023;LC026},22,3,3,14.6,3,7,35,3,{características del editorial;análisis de opinión},{editoriales actuales;análisis argumentativo},{preguntas de editorial},70.0,21,{identifica posición editorial;evalúa argumentos periodísticos},crítico-periodístico,argumentativo,selección múltiple,activo
LC023,Lectura Crítica,Funciones del lenguaje,Función referencial,Información objetiva y datos,Identificar y entender los contenidos locales que conforman un texto,Funciones comunicativas,Identifica la función referencial del lenguaje,Reconoce textos con propósito informativo,8°,{LC019;LC022},{LC024;LC027},23,2,3,16.8,2,6,45,2,{funciones del lenguaje;textos informativos},{noticias y reportes;análisis funcional},{preguntas de función referencial},75.0,28,{identifica función informativa;distingue de otras funciones},funcional,categórico,selección múltiple,activo
LC024,Lectura Crítica,Funciones del lenguaje,Función apelativa,Persuasión y convencimiento,Reflexionar a partir de un texto y evaluar su contenido,Funciones comunicativas,Identifica la función apelativa del lenguaje,Reconoce textos que buscan persuadir,9°,{LC020;LC023},{LC025;LC028},24,3,4,18.2,3,7,40,3,{función persuasiva;técnicas apelativas},{publicidad y propaganda;análisis persuasivo},{preguntas de función apelativa},75.0,21,{identifica función persuasiva;reconoce técnicas apelativas},persuasivo,funcional,selección múltiple,activo
LC025,Lectura Crítica,Funciones del lenguaje,Función expresiva,Emotividad y subjetividad,Reflexionar a partir de un texto y evaluar su contenido,Funciones comunicativas,Identifica la función expresiva del lenguaje,Reconoce expresión de emociones y subjetividad,9°,{LC021;LC024},{LC026;LC029},25,3,2,11.5,3,5,30,2,{función expresiva;textos subjetivos},{textos líricos;análisis expresivo},{preguntas de función expresiva},70.0,35,{identifica función expresiva;reconoce subjetividad},expresivo-emotivo,expresivo,selección múltiple,activo
LC028,Lectura Crítica,Análisis discursivo,Ideología en el texto,Posiciones ideológicas implícitas,Reflexionar a partir de un texto y evaluar su contenido,Análisis discursivo,Identifica posiciones ideológicas en textos,Reconoce sesgos y perspectivas particulares,11°,{LC024;LC027},{LC029;LC032},28,4,3,11.3,5,6,30,4,{análisis ideológico;detección de sesgos},{textos con carga ideológica;análisis crítico},{preguntas de ideología},65.0,28,{identifica sesgos ideológicos;reconoce perspectivas particulares},crítico-ideológico,crítico,selección múltiple,activo
LC030,Lectura Crítica,Competencia lectora,Velocidad lectora,Fluidez y comprensión simultánea,Identificar y entender los contenidos locales que conforman un texto,Competencia lectora,Desarrolla velocidad lectora manteniendo comprensión,Lee con fluidez textos diversos,6°,{LC026;LC029},{LC031;LC034},30,2,4,15.7,2,8,80,2,{técnicas de lectura rápida;ejercicios de velocidad},{textos cronometrados;práctica de velocidad},{medición de velocidad lectora},220.0,14,{lee 250 palabras por minuto;mantiene 80% comprensión},kinestésico-veloz,técnico,medición directa,activo
LC031,Lectura Crítica,Competencia lectora,Vocabulario avanzado,Léxico académico y especializado,Identificar y entender los contenidos locales que conforman un texto,Competencia lectora,Maneja vocabulario académico avanzado,Comprende términos especializados en contexto,10°,{LC027;LC030},{LC032;LC035},31,4,3,12.8,4,8,60,3,{vocabulario académico;diccionarios especializados},{textos académicos;ejercicios léxicos},{preguntas de vocabulario avanzado},75.0,21,{comprende 80% vocabulario académico;usa contexto para inferir},léxico-académico,contextual,selección múltiple,activo
LC032,Lectura Crítica,Competencia lectora,Lectura crítica digital,Textos en medios digitales,Reflexionar a partir de un texto y evaluar su contenido,Competencia lectora,Aplica lectura crítica en medios digitales,Evalúa confiabilidad de fuentes online,11°,{LC028;LC031},{LC033;LC036},32,4,3,13.5,3,7,40,3,{alfabetización digital;evaluación de fuentes},{textos web;análisis de credibilidad},{preguntas de lectura digital},70.0,21,{evalúa fuentes digitales;identifica información confiable},digital-crítico,evaluativo,selección múltiple,activo
LC035,Lectura Crítica,Metacognición lectora,Estrategias de comprensión,Autorregulación del proceso lector,Comprender cómo se articulan las partes de un texto para darle un sentido global,Metacognición,Aplica estrategias metacognitivas de lectura,Monitorea su comprensión mientras lee,9°,{LC031;LC034},{LC036;LC039},35,3,3,14.1,3,6,40,3,{estrategias metacognitivas;autorregulación},{ejercicios metacognitivos;reflexión sobre lectura},{evaluación de estrategias},75.0,28,{usa estrategias conscientemente;monitorea comprensión},metacognitivo,autorregulado,autoevaluación,activo
LC036,Lectura Crítica,Metacognición lectora,Evaluación de comprensión,Autoevaluación del entendimiento,Reflexionar a partir de un texto y evaluar su contenido,Metacognición,Evalúa su nivel de comprensión textual,Identifica cuándo no comprende y busca estrategias,10°,{LC032;LC035},{LC037;LC040},36,3,2,10.6,2,5,30,2,{autoevaluación lectora;indicadores de comprensión},{ejercicios de autoevaluación;reflexión metacognitiva},{preguntas metacognitivas},70.0,21,{evalúa su comprensión;identifica dificultades de entendimiento},autoevaluativo,reflexivo,autoevaluación,activo
LC037,Lectura Crítica,Lectura académica,Textos científicos,Comprensión de divulgación científica,Identificar y entender los contenidos locales que conforman un texto,Lectura académica,Comprende textos de divulgación científica,Extrae información de textos especializados,10°,{LC033;LC036},{LC038;LC041},37,4,3,11.9,4,7,35,3,{divulgación científica;textos especializados},{artículos científicos adaptados;análisis académico},{preguntas de textos científicos},70.0,28,{comprende textos científicos;extrae información especializada},científico-analítico,académico,selección múltiple,activo
LC039,Lectura Crítica,Síntesis textual,Resumen académico,Técnicas de síntesis avanzada,Comprender cómo se articulan las partes de un texto para darle un sentido global,Síntesis,Produce resúmenes académicos efectivos,Sintetiza información preservando ideas centrales,10°,{LC035;LC038},{LC040;LC041},39,3,3,12.7,3,8,45,3,{técnicas de resumen;síntesis académica},{textos para resumir;ejercicios de síntesis},{evaluación de resúmenes},75.0,21,{resume manteniendo ideas centrales;usa técnicas de síntesis},sintético-académico,sintético,producción textual,activo
LC041,Lectura Crítica,Aplicación ICFES,Simulacros completos,Práctica integral de lectura crítica,Reflexionar a partir de un texto y evaluar su contenido,Aplicación ICFES,Resuelve pruebas ICFES de lectura crítica,Aplica todas las competencias en formato oficial,11°,{LC037;LC040},{},41,4,5,25.8,1,15,100,5,{simulacros ICFES;estrategias de examen},{pruebas oficiales;práctica cronometrada},{simulacros completos ICFES},85.0,7,{resuelve 35/41 preguntas correctamente;maneja tiempo de examen},estratégico-aplicativo,aplicativo,simulacro oficial,activo
MAT001,Matemáticas,Números reales,Operaciones básicas,Suma resta multiplicación y división de reales,Formulación y ejecución,Álgebra y cálculo,Resuelve operaciones con números reales,Ejecuta algoritmos de operaciones básicas correctamente,6°,{},{MAT002;MAT003},1,1,5,35.2,2,6,100,2,{videos de operaciones básicas;propiedades de números reales},{ejercicios de cálculo mental;problemas de operaciones combinadas},{preguntas de operaciones directas},90.0,7,{resuelve 20 operaciones en 5 minutos;no usa calculadora para operaciones básicas},kinestésico,repetitivo-procedimental,selección múltiple,activo
MAT002,Matemáticas,Números reales,Potenciación y radicación,Operaciones con potencias y raíces,Formulación y ejecución,Álgebra y cálculo,Aplica propiedades de potencias y raíces,Simplifica expresiones con exponentes y radicales,7°,{MAT001},{MAT004;MAT008},2,2,4,28.7,3,7,80,3,{leyes de exponentes;propiedades de radicales},{ejercicios de simplificación;problemas con potencias},{preguntas de simplificación algebraica},75.0,14,{simplifica expresiones con exponentes;opera con radicales básicos},visual-lógico,algorítmico,selección múltiple,activo
MAT003,Matemáticas,Expresiones algebraicas,Polinomios,Operaciones con expresiones polinómicas,Formulación y ejecución,Álgebra y cálculo,Realiza operaciones con polinomios,Suma resta multiplica y divide polinomios,8°,{MAT001;MAT002},{MAT005;MAT009},3,2,5,24.1,4,8,70,4,{definición de polinomios;operaciones algebraicas},{ejercicios de suma y resta;multiplicación de polinomios},{preguntas de operaciones polinómicas},80.0,21,{suma polinomios correctamente;multiplica binomios sin error},simbólico-abstracto,algorítmico,selección múltiple,activo
MAT004,Matemáticas,Ecuaciones lineales,Ecuaciones de primer grado,Resolución de ecuaciones lineales simples,Formulación y ejecución,Álgebra y cálculo,Resuelve ecuaciones lineales de una variable,Aplica propiedades para despejar la incógnita,8°,{MAT002;MAT003},{MAT006;MAT010},4,2,5,26.8,3,9,60,3,{principios de igualdad;métodos de despeje},{ecuaciones paso a paso;problemas contextualizados},{preguntas de resolución de ecuaciones},85.0,14,{resuelve ecuaciones en 3 pasos;verifica soluciones},lógico-secuencial,algorítmico,selección múltiple,activo
MAT005,Matemáticas,Sistemas de ecuaciones,Métodos de solución,Sustitución igualación y eliminación,Formulación y ejecución,Álgebra y cálculo,Resuelve sistemas de ecuaciones lineales,Aplica diferentes métodos según el contexto,9°,{MAT004},{MAT011;MAT015},5,3,5,22.3,5,10,50,4,{métodos de resolución;interpretación gráfica},{sistemas 2x2 paso a paso;problemas de aplicación},{preguntas de sistemas lineales},80.0,21,{resuelve sistemas por 2 métodos;interpreta solución gráficamente},lógico-visual,sistémico,selección múltiple,activo
MAT006,Matemáticas,Funciones,Concepto de función,Definición y características básicas,Interpretación y representación,Álgebra y cálculo,Identifica si una relación es función,Aplica la prueba de la línea vertical,9°,{MAT004;MAT005},{MAT007;MAT012},6,3,5,19.6,4,8,45,3,{definición de función;dominio y rango},{gráficas de relaciones;ejercicios de identificación},{preguntas sobre concepto de función},75.0,28,{identifica funciones correctamente;determina dominio y rango básico},visual-analítico,conceptual,selección múltiple,activo
MAT007,Matemáticas,Funciones,Función lineal,Pendiente intercepto y ecuación de la recta,Interpretación y representación,Álgebra y cálculo,Analiza y representa funciones lineales,Interpreta pendiente como razón de cambio,9°,{MAT006},{MAT008;MAT013},7,3,5,21.4,4,9,55,4,{ecuación punto-pendiente;interpretación de parámetros},{gráficas en plano cartesiano;problemas de razón de cambio},{preguntas de función lineal},80.0,21,{calcula pendiente entre dos puntos;interpreta interceptos},visual-cuantitativo,representacional,selección múltiple,activo
MAT008,Matemáticas,Funciones,Función cuadrática,Parábolas y características,Interpretación y representación,Álgebra y cálculo,Analiza funciones cuadráticas,Identifica vértice eje de simetría y raíces,10°,{MAT002;MAT007},{MAT009;MAT014},8,4,4,18.9,5,10,45,4,{función cuadrática;características de parábolas},{gráficas de parábolas;análisis de vértice},{preguntas de función cuadrática},75.0,28,{identifica vértice y eje;calcula raíces por factorización},visual-algebraico,analítico,selección múltiple,activo
MAT009,Matemáticas,Funciones,Función exponencial,Crecimiento y decrecimiento exponencial,Interpretación y representación,Álgebra y cálculo,Modela situaciones con funciones exponenciales,Interpreta crecimiento exponencial en contextos,10°,{MAT003;MAT008},{MAT010;MAT015},9,4,3,16.2,4,8,35,3,{función exponencial;crecimiento exponencial},{problemas de crecimiento poblacional;interés compuesto},{preguntas de función exponencial},70.0,35,{modela crecimiento exponencial;interpreta parámetros},modelístico,aplicativo,selección múltiple,activo
MAT010,Matemáticas,Funciones,Función logarítmica,Logaritmos y sus propiedades,Argumentación,Álgebra y cálculo,Comprende la función logarítmica,Aplica propiedades de logaritmos,11°,{MAT004;MAT009},{MAT011;MAT016},10,4,3,14.7,5,8,30,4,{definición de logaritmo;propiedades logarítmicas},{ejercicios con logaritmos;cambio de base},{preguntas de logaritmos},65.0,42,{aplica propiedades de logaritmos;resuelve ecuaciones logarítmicas},lógico-abstracto,conceptual,selección múltiple,activo
MAT011,Matemáticas,Trigonometría,Razones trigonométricas,Seno coseno y tangente,Formulación y ejecución,Álgebra y cálculo,Calcula razones trigonométricas básicas,Aplica seno coseno y tangente en triángulos,10°,{MAT005;MAT010},{MAT012;MAT017},11,3,4,17.8,4,9,50,3,{razones trigonométricas;triángulo rectángulo},{problemas de triángulos;aplicaciones trigonométricas},{preguntas de trigonometría básica},75.0,21,{calcula razones en triángulo rectángulo;aplica en problemas contextualizados},visual-espacial,aplicativo,selección múltiple,activo
MAT012,Matemáticas,Trigonometría,Identidades trigonométricas,Relaciones entre funciones trigonométricas,Argumentación,Álgebra y cálculo,Demuestra identidades trigonométricas básicas,Utiliza relaciones fundamentales entre razones,11°,{MAT006;MAT011},{MAT013;MAT018},12,4,3,12.4,5,7,25,4,{identidades fundamentales;relaciones trigonométricas},{demostración de identidades;ejercicios de simplificación},{preguntas de identidades},65.0,35,{demuestra identidades básicas;simplifica expresiones trigonométricas},lógico-deductivo,demostrativo,selección múltiple,activo
MAT013,Matemáticas,Trigonometría,Funciones trigonométricas,Gráficas de seno coseno y tangente,Interpretación y representación,Álgebra y cálculo,Interpreta gráficas de funciones trigonométricas,Identifica amplitud periodo y fase,11°,{MAT007;MAT012},{MAT014;MAT019},13,4,3,15.1,4,8,35,3,{gráficas trigonométricas;transformaciones},{análisis de funciones periódicas;interpretación gráfica},{preguntas de gráficas trigonométricas},70.0,28,{identifica periodo y amplitud;interpreta transformaciones},visual-periódico,gráfico,selección múltiple,activo
MAT017,Matemáticas,Geometría analítica,Distancia entre puntos,Fórmula de distancia en el plano,Formulación y ejecución,Geometría,Calcula distancias entre puntos en el plano,Aplica la fórmula de distancia euclidiana,9°,{MAT011;MAT016},{MAT018;MAT023},17,3,4,18.5,3,7,50,2,{geometría analítica;distancia euclidiana},{problemas de distancia;aplicaciones geométricas},{preguntas de distancia entre puntos},80.0,21,{calcula distancias correctamente;aplica en problemas geométricos},visual-cuantitativo,aplicativo,selección múltiple,activo
MAT018,Matemáticas,Geometría analítica,Ecuación de la recta,Diferentes formas de la ecuación lineal,Interpretación y representación,Geometría,Encuentra ecuaciones de rectas,Utiliza forma punto-pendiente y general,10°,{MAT012;MAT017},{MAT019;MAT024},18,3,4,19.7,4,8,45,3,{ecuaciones de recta;formas de la ecuación},{problemas de rectas;intersecciones},{preguntas de ecuación de recta},75.0,21,{encuentra ecuación punto-pendiente;determina intersecciones},algebraico-geométrico,aplicativo,selección múltiple,activo
MAT019,Matemáticas,Geometría analítica,Cónicas básicas,Circunferencia y sus elementos,Interpretación y representación,Geometría,Analiza la circunferencia analíticamente,Encuentra centro y radio de circunferencias,10°,{MAT013;MAT018},{MAT020;MAT025},19,3,3,15.3,4,7,35,3,{ecuación de la circunferencia;elementos},{análisis de circunferencias;problemas aplicados},{preguntas de circunferencia},70.0,28,{encuentra centro y radio;determina si punto pertenece},geométrico-algebraico,analítico,selección múltiple,activo
MAT020,Matemáticas,Geometría plana,Figuras básicas,Triángulos cuadriláteros y círculos,Interpretación y representación,Geometría,Identifica propiedades de figuras planas,Calcula perímetros y áreas de figuras básicas,7°,{MAT014;MAT019},{MAT021;MAT026},20,2,4,22.8,3,8,60,3,{propiedades geométricas;fórmulas de área y perímetro},{construcciones geométricas;problemas de medición},{preguntas de geometría básica},80.0,21,{calcula áreas correctamente;identifica propiedades de figuras},visual-espacial,aplicativo,selección múltiple,activo
MAT021,Matemáticas,Geometría plana,Teoremas clásicos,Pitágoras Tales y congruencia,Argumentación,Geometría,Aplica teoremas geométricos fundamentales,Demuestra propiedades usando teoremas,9°,{MAT015;MAT020},{MAT022;MAT027},21,3,4,17.9,4,7,40,4,{teoremas geométricos;demostraciones},{problemas de aplicación;construcciones},{preguntas de teoremas geométricos},75.0,28,{aplica teorema de Pitágoras;demuestra congruencia},deductivo-geométrico,demostrativo,selección múltiple,activo
MAT022,Matemáticas,Geometría plana,Semejanza y proporcionalidad,Figuras semejantes y escalas,Interpretación y representación,Geometría,Resuelve problemas de semejanza,Aplica proporcionalidad en figuras semejantes,9°,{MAT016;MAT021},{MAT023;MAT028},22,3,3,16.4,3,8,45,3,{semejanza de figuras;proporcionalidad},{problemas de escalas;aplicaciones prácticas},{preguntas de semejanza},75.0,21,{identifica figuras semejantes;calcula escalas y proporciones},proporcional-visual,aplicativo,selección múltiple,activo
MAT023,Matemáticas,Geometría sólida,Prismas y pirámides,Volúmenes y áreas superficiales,Formulación y ejecución,Geometría,Calcula volúmenes de sólidos básicos,Encuentra áreas superficiales de prismas y pirámides,10°,{MAT017;MAT022},{MAT024;MAT029},23,3,3,14.7,4,8,35,3,{geometría tridimensional;fórmulas de volumen},{problemas de sólidos;cálculos volumétricos},{preguntas de geometría sólida},70.0,28,{calcula volúmenes correctamente;encuentra áreas superficiales},espacial-cuantitativo,aplicativo,selección múltiple,activo
